Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3402  2005  3921  2560 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,07-May-2025 12:24:23,
File, potted plant_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_6400ISO_+1EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_6400ISO_+1EV_Dist2_ON_Focused.tiff,potted plant_55.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_100ISO_+1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0081,  0.0159,  0.0080,  0.0156,  0.0081,  0.0158,  0.1349,  0.0080,  0.0157,  0.1509,  0.1569,  0.1447,  0.0080,  0.0155,  0.0080,  0.0158,  0.1581,  0.1576
R1090 (pxl) Mean Ctr, 52.4535, 28.9112, 54.2432, 28.7291, 49.6344, 29.4474,  2.8182, 53.9615, 27.9784,  3.0752,  3.0875,  3.0206, 59.3800, 28.5504, 53.7281, 29.1857,  3.0112,  2.9860
CA (pxl) Mean Ctr, 39.2333,  1.8184,  6.6379,  2.6475, 10.9370,  1.7817,  0.3081,  4.1323,  0.5751,  0.9251,  0.5883,  0.7699,  0.1328,  0.7304,  2.4833,  0.7854,  0.8410,  0.8390
MTF50 (LW/PH) Mean Ctr,     64.7,    127.8,     64.4,    125.5,     64.9,    126.7,   1084.5,     64.3,    125.9,   1213.1,   1261.4,   1163.1,     64.1,    124.7,     64.4,    126.7,   1271.4,   1266.9
R1090 (/PH) Mean Ctr,     76.6,    139.0,     74.1,    139.9,     81.0,    136.5,   1426.4,     74.5,    143.7,   1307.2,   1302.0,   1330.9,     67.7,    140.8,     74.8,    137.7,   1335.0,   1346.3
Peak MTF Mean Ctr,   1.000,   1.008,   1.000,   1.002,   1.000,   1.003,   1.006,   1.000,   1.000,   1.009,   1.006,   1.012,   1.000,   1.000,   1.000,   1.000,   1.008,   1.008
MTF50P (Cy/Pxl) Mean Ctr,  0.0081,  0.0158,  0.0080,  0.0156,  0.0081,  0.0157,  0.1348,  0.0080,  0.0157,  0.1506,  0.1568,  0.1445,  0.0080,  0.0155,  0.0080,  0.0158,  0.1576,  0.1573
MTF50P (LW/PH) Mean Ctr,     64.7,    127.0,     64.4,    125.3,     64.9,    126.5,   1084.0,     64.3,    125.9,   1210.5,   1260.8,   1162.0,     64.1,    124.7,     64.4,    126.7,   1267.1,   1264.5
