Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_100ISO_-1EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 18:35:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.86, 1.0032, 1.0020, 1.0034, 1.0043, 1.0032
0.0062,   49.71, 0.9974, 0.9940, 0.9980, 1.0009, 0.9974
0.0093,   74.57, 0.9848, 0.9840, 0.9848, 0.9881, 0.9848
0.0124,   99.42, 0.9735, 0.9763, 0.9724, 0.9762, 0.9735
0.0155,  124.28, 0.9681, 0.9681, 0.9674, 0.9760, 0.9681
0.0185,  149.13, 0.9656, 0.9561, 0.9679, 0.9717, 0.9656
0.0216,  173.99, 0.9596, 0.9441, 0.9646, 0.9572, 0.9596
0.0247,  198.84, 0.9568, 0.9406, 0.9639, 0.9371, 0.9568
0.0278,  223.70, 0.9476, 0.9432, 0.9507, 0.9369, 0.9476
0.0309,  248.55, 0.9374, 0.9520, 0.9315, 0.9606, 0.9374
0.0340,  273.41, 0.9281, 0.9265, 0.9270, 0.9529, 0.9281
0.0371,  298.27, 0.9138, 0.8875, 0.9215, 0.9221, 0.9138
0.0402,  323.12, 0.9047, 0.8805, 0.9149, 0.8824, 0.9047
0.0433,  347.98, 0.9087, 0.8848, 0.9212, 0.8666, 0.9087
0.0464,  372.83, 0.9084, 0.8896, 0.9185, 0.8747, 0.9084
0.0495,  397.69, 0.8962, 0.9025, 0.8999, 0.8522, 0.8962
0.0526,  422.54, 0.8850, 0.9041, 0.8869, 0.8262, 0.8850
0.0556,  447.40, 0.8594, 0.8557, 0.8661, 0.8227, 0.8594
0.0587,  472.25, 0.8127, 0.7950, 0.8205, 0.8054, 0.8127
0.0618,  497.11, 0.8054, 0.7979, 0.8136, 0.7788, 0.8054
0.0649,  521.97, 0.8297, 0.8044, 0.8477, 0.7715, 0.8297
0.0680,  546.82, 0.8343, 0.7745, 0.8631, 0.7585, 0.8343
0.0711,  571.68, 0.8348, 0.7692, 0.8671, 0.7318, 0.8348
0.0742,  596.53, 0.8274, 0.7675, 0.8610, 0.7068, 0.8274
0.0773,  621.39, 0.8067, 0.7414, 0.8429, 0.6951, 0.8067
0.0804,  646.24, 0.7903, 0.7193, 0.8249, 0.7037, 0.7903
0.0835,  671.10, 0.7785, 0.7210, 0.8071, 0.7059, 0.7785
0.0866,  695.95, 0.7702, 0.7295, 0.7948, 0.6830, 0.7702
0.0897,  720.81, 0.7834, 0.7402, 0.8112, 0.6686, 0.7834
0.0927,  745.66, 0.7920, 0.7460, 0.8203, 0.6887, 0.7920
0.0958,  770.52, 0.7619, 0.7374, 0.7810, 0.6934, 0.7619
0.0989,  795.38, 0.7156, 0.6935, 0.7331, 0.6681, 0.7156
0.1020,  820.23, 0.6900, 0.6340, 0.7170, 0.6363, 0.6900
0.1051,  845.09, 0.6904, 0.6246, 0.7242, 0.5826, 0.6904
0.1082,  869.94, 0.6875, 0.6437, 0.7198, 0.5393, 0.6875
0.1113,  894.80, 0.6869, 0.6554, 0.7180, 0.5431, 0.6869
0.1144,  919.65, 0.6860, 0.6619, 0.7143, 0.5541, 0.6860
0.1175,  944.51, 0.6708, 0.6549, 0.6952, 0.5595, 0.6708
0.1206,  969.36, 0.6692, 0.6610, 0.6952, 0.5479, 0.6692
0.1237,  994.22, 0.6508, 0.6579, 0.6730, 0.5218, 0.6508
0.1268, 1019.08, 0.6120, 0.6036, 0.6330, 0.5218, 0.6120
0.1298, 1043.93, 0.5959, 0.5536, 0.6222, 0.5244, 0.5959
0.1329, 1068.79, 0.5810, 0.5337, 0.6101, 0.4843, 0.5810
0.1360, 1093.64, 0.5598, 0.5147, 0.5976, 0.4008, 0.5598
0.1391, 1118.50, 0.5438, 0.4818, 0.5876, 0.3609, 0.5438
0.1422, 1143.35, 0.5338, 0.4514, 0.5782, 0.3849, 0.5338
0.1453, 1168.21, 0.5263, 0.4069, 0.5793, 0.3981, 0.5263
0.1484, 1193.06, 0.5192, 0.3839, 0.5760, 0.4011, 0.5192
0.1515, 1217.92, 0.5176, 0.4373, 0.5578, 0.3927, 0.5176
0.1546, 1242.77, 0.5207, 0.4944, 0.5476, 0.3661, 0.5207
0.1577, 1267.63, 0.5261, 0.4908, 0.5584, 0.3571, 0.5261
0.1608, 1292.49, 0.5092, 0.4550, 0.5462, 0.3666, 0.5092
0.1638, 1317.34, 0.4700, 0.4015, 0.5058, 0.3731, 0.4700
0.1669, 1342.20, 0.4660, 0.3870, 0.5036, 0.3790, 0.4660
0.1700, 1367.05, 0.4947, 0.4415, 0.5276, 0.3738, 0.4947
0.1731, 1391.91, 0.4895, 0.4619, 0.5150, 0.3516, 0.4895
0.1762, 1416.76, 0.4554, 0.4349, 0.4789, 0.3192, 0.4554
0.1793, 1441.62, 0.4361, 0.4385, 0.4539, 0.2985, 0.4361
0.1824, 1466.47, 0.4261, 0.4366, 0.4423, 0.2841, 0.4261
0.1855, 1491.33, 0.4124, 0.4102, 0.4321, 0.2895, 0.4124
0.1886, 1516.19, 0.3937, 0.3784, 0.4136, 0.3135, 0.3937
0.1917, 1541.04, 0.3715, 0.3450, 0.3922, 0.3108, 0.3715
0.1948, 1565.90, 0.3670, 0.3171, 0.3938, 0.2945, 0.3670
0.1979, 1590.75, 0.3790, 0.3021, 0.4154, 0.2857, 0.3790
0.2009, 1615.61, 0.3916, 0.3161, 0.4292, 0.2811, 0.3916
0.2040, 1640.46, 0.3947, 0.3486, 0.4247, 0.2950, 0.3947
0.2071, 1665.32, 0.3692, 0.3740, 0.3820, 0.2932, 0.3692
0.2102, 1690.17, 0.3332, 0.3596, 0.3358, 0.2799, 0.3332
0.2133, 1715.03, 0.3385, 0.3147, 0.3582, 0.2650, 0.3385
0.2164, 1739.88, 0.3531, 0.2927, 0.3873, 0.2397, 0.3531
0.2195, 1764.74, 0.3399, 0.2736, 0.3765, 0.2168, 0.3399
0.2226, 1789.60, 0.3268, 0.2545, 0.3633, 0.2157, 0.3268
0.2257, 1814.45, 0.3118, 0.2677, 0.3384, 0.2068, 0.3118
0.2288, 1839.31, 0.2951, 0.2679, 0.3171, 0.1834, 0.2951
0.2319, 1864.16, 0.2983, 0.2591, 0.3228, 0.1948, 0.2983
0.2350, 1889.02, 0.3108, 0.2740, 0.3325, 0.2258, 0.3108
0.2380, 1913.87, 0.2975, 0.2712, 0.3150, 0.2196, 0.2975
0.2411, 1938.73, 0.2657, 0.2526, 0.2797, 0.2043, 0.2657
0.2442, 1963.58, 0.2738, 0.2422, 0.2942, 0.2231, 0.2738
0.2473, 1988.44, 0.2877, 0.2413, 0.3131, 0.2149, 0.2877
0.2504, 2013.29, 0.2628, 0.2302, 0.2840, 0.1765, 0.2628
0.2535, 2038.15, 0.2405, 0.2027, 0.2619, 0.1541, 0.2405
0.2566, 2063.01, 0.2343, 0.1971, 0.2560, 0.1366, 0.2343
0.2597, 2087.86, 0.2291, 0.2219, 0.2426, 0.1317, 0.2291
0.2628, 2112.72, 0.2237, 0.2458, 0.2274, 0.1436, 0.2237
0.2659, 2137.57, 0.2138, 0.2286, 0.2185, 0.1459, 0.2138
0.2690, 2162.43, 0.2025, 0.1971, 0.2125, 0.1463, 0.2025
0.2721, 2187.28, 0.2020, 0.1931, 0.2121, 0.1472, 0.2020
0.2751, 2212.14, 0.2075, 0.2039, 0.2170, 0.1351, 0.2075
0.2782, 2236.99, 0.2027, 0.2078, 0.2108, 0.1199, 0.2027
0.2813, 2261.85, 0.1839, 0.1945, 0.1889, 0.1184, 0.1839
0.2844, 2286.71, 0.1715, 0.1855, 0.1743, 0.1168, 0.1715
0.2875, 2311.56, 0.1704, 0.1826, 0.1736, 0.1134, 0.1704
0.2906, 2336.42, 0.1613, 0.1753, 0.1638, 0.1036, 0.1613
0.2937, 2361.27, 0.1475, 0.1755, 0.1453, 0.0967, 0.1475
0.2968, 2386.13, 0.1420, 0.1674, 0.1392, 0.1043, 0.1420
0.2999, 2410.98, 0.1454, 0.1558, 0.1459, 0.1179, 0.1454
0.3030, 2435.84, 0.1468, 0.1589, 0.1469, 0.1170, 0.1468
0.3061, 2460.69, 0.1360, 0.1521, 0.1357, 0.0993, 0.1360
0.3091, 2485.55, 0.1285, 0.1402, 0.1293, 0.0939, 0.1285
0.3122, 2510.40, 0.1313, 0.1456, 0.1308, 0.0991, 0.1313
0.3153, 2535.26, 0.1293, 0.1492, 0.1269, 0.1004, 0.1293
0.3184, 2560.12, 0.1195, 0.1369, 0.1177, 0.0913, 0.1195
0.3215, 2584.97, 0.1130, 0.1230, 0.1138, 0.0809, 0.1130
0.3246, 2609.83, 0.1079, 0.1156, 0.1088, 0.0817, 0.1079
0.3277, 2634.68, 0.0994, 0.1125, 0.0975, 0.0827, 0.0994
0.3308, 2659.54, 0.0989, 0.1150, 0.0960, 0.0834, 0.0989
0.3339, 2684.39, 0.1013, 0.1162, 0.0991, 0.0829, 0.1013
0.3370, 2709.25, 0.0991, 0.1142, 0.0974, 0.0770, 0.0991
0.3401, 2734.10, 0.0957, 0.1105, 0.0939, 0.0755, 0.0957
0.3432, 2758.96, 0.0938, 0.1069, 0.0920, 0.0780, 0.0938
0.3462, 2783.82, 0.0949, 0.1070, 0.0932, 0.0797, 0.0949
0.3493, 2808.67, 0.0933, 0.1059, 0.0914, 0.0795, 0.0933
0.3524, 2833.53, 0.0884, 0.1007, 0.0864, 0.0755, 0.0884
0.3555, 2858.38, 0.0857, 0.0959, 0.0844, 0.0718, 0.0857
0.3586, 2883.24, 0.0848, 0.0937, 0.0839, 0.0716, 0.0848
0.3617, 2908.09, 0.0831, 0.0903, 0.0825, 0.0722, 0.0831
0.3648, 2932.95, 0.0810, 0.0862, 0.0807, 0.0720, 0.0810
0.3679, 2957.80, 0.0792, 0.0837, 0.0792, 0.0706, 0.0792
0.3710, 2982.66, 0.0768, 0.0805, 0.0770, 0.0683, 0.0768
0.3741, 3007.51, 0.0742, 0.0767, 0.0747, 0.0671, 0.0742
0.3772, 3032.37, 0.0730, 0.0746, 0.0737, 0.0669, 0.0730
0.3803, 3057.23, 0.0706, 0.0717, 0.0715, 0.0651, 0.0706
0.3833, 3082.08, 0.0659, 0.0665, 0.0670, 0.0609, 0.0659
0.3864, 3106.94, 0.0614, 0.0613, 0.0628, 0.0575, 0.0614
0.3895, 3131.79, 0.0582, 0.0590, 0.0595, 0.0566, 0.0582
0.3926, 3156.65, 0.0559, 0.0604, 0.0563, 0.0558, 0.0559
0.3957, 3181.50, 0.0531, 0.0577, 0.0537, 0.0534, 0.0531
0.3988, 3206.36, 0.0530, 0.0529, 0.0547, 0.0546, 0.0530
0.4019, 3231.21, 0.0507, 0.0500, 0.0521, 0.0552, 0.0507
0.4050, 3256.07, 0.0474, 0.0489, 0.0484, 0.0521, 0.0474
0.4081, 3280.92, 0.0491, 0.0544, 0.0498, 0.0493, 0.0491
0.4112, 3305.78, 0.0447, 0.0547, 0.0444, 0.0435, 0.0447
0.4143, 3330.64, 0.0347, 0.0463, 0.0345, 0.0336, 0.0347
0.4173, 3355.49, 0.0267, 0.0389, 0.0266, 0.0269, 0.0267
0.4204, 3380.35, 0.0244, 0.0365, 0.0234, 0.0304, 0.0244
0.4235, 3405.20, 0.0285, 0.0402, 0.0271, 0.0328, 0.0285
0.4266, 3430.06, 0.0284, 0.0402, 0.0279, 0.0267, 0.0284
0.4297, 3454.91, 0.0188, 0.0314, 0.0195, 0.0206, 0.0188
0.4328, 3479.77, 0.0102, 0.0204, 0.0125, 0.0196, 0.0102
0.4359, 3504.62, 0.0053, 0.0151, 0.0093, 0.0176, 0.0053
0.4390, 3529.48, 0.0032, 0.0166, 0.0082, 0.0163, 0.0032
0.4421, 3554.34, 0.0040, 0.0156, 0.0072, 0.0131, 0.0040
0.4452, 3579.19, 0.0052, 0.0133, 0.0061, 0.0088, 0.0052
0.4483, 3604.05, 0.0031, 0.0101, 0.0063, 0.0081, 0.0031
0.4514, 3628.90, 0.0126, 0.0008, 0.0164, 0.0124, 0.0126
0.4544, 3653.76, 0.0173, 0.0115, 0.0199, 0.0155, 0.0173
0.4575, 3678.61, 0.0195, 0.0165, 0.0209, 0.0177, 0.0195
0.4606, 3703.47, 0.0247, 0.0182, 0.0278, 0.0167, 0.0247
0.4637, 3728.32, 0.0246, 0.0200, 0.0287, 0.0121, 0.0246
0.4668, 3753.18, 0.0194, 0.0211, 0.0213, 0.0086, 0.0194
0.4699, 3778.03, 0.0132, 0.0157, 0.0149, 0.0141, 0.0132
0.4730, 3802.89, 0.0064, 0.0061, 0.0099, 0.0133, 0.0064
0.4761, 3827.75, 0.0055, 0.0195, 0.0027, 0.0042, 0.0055
0.4792, 3852.60, 0.0180, 0.0330, 0.0143, 0.0105, 0.0180
0.4823, 3877.46, 0.0294, 0.0445, 0.0264, 0.0184, 0.0294
0.4854, 3902.31, 0.0331, 0.0465, 0.0307, 0.0213, 0.0331
0.4885, 3927.17, 0.0385, 0.0499, 0.0367, 0.0248, 0.0385
0.4915, 3952.02, 0.0425, 0.0630, 0.0380, 0.0319, 0.0425
0.4946, 3976.88, 0.0395, 0.0706, 0.0322, 0.0299, 0.0395
0.4977, 4001.73, 0.0365, 0.0638, 0.0307, 0.0210, 0.0365
0.5008, 4026.59, 0.0364, 0.0573, 0.0324, 0.0215, 0.0364
0.5039, 4051.45, 0.0425, 0.0662, 0.0378, 0.0284, 0.0425
0.5070, 4076.30, 0.0374, 0.0618, 0.0332, 0.0188, 0.0374
0.5101, 4101.16, 0.0268, 0.0470, 0.0234, 0.0126, 0.0268
0.5132, 4126.01, 0.0317, 0.0486, 0.0288, 0.0181, 0.0317
0.5163, 4150.87, 0.0368, 0.0446, 0.0367, 0.0203, 0.0368
0.5194, 4175.72, 0.0324, 0.0323, 0.0349, 0.0215, 0.0324
0.5225, 4200.58, 0.0283, 0.0327, 0.0282, 0.0254, 0.0283
0.5256, 4225.43, 0.0240, 0.0338, 0.0208, 0.0287, 0.0240
0.5286, 4250.29, 0.0167, 0.0253, 0.0140, 0.0197, 0.0167
0.5317, 4275.14, 0.0154, 0.0228, 0.0142, 0.0134, 0.0154
0.5348, 4300.00, 0.0218, 0.0285, 0.0214, 0.0105, 0.0218
0.5379, 4324.86, 0.0233, 0.0317, 0.0235, 0.0118, 0.0233
0.5410, 4349.71, 0.0067, 0.0096, 0.0063, 0.0263, 0.0067
0.5441, 4374.57, 0.0204, 0.0178, 0.0220, 0.0254, 0.0204
0.5472, 4399.42, 0.0272, 0.0257, 0.0277, 0.0288, 0.0272
0.5503, 4424.28, 0.0366, 0.0361, 0.0372, 0.0387, 0.0366
0.5534, 4449.13, 0.0262, 0.0294, 0.0261, 0.0282, 0.0262
0.5565, 4473.99, 0.0100, 0.0124, 0.0075, 0.0288, 0.0100
0.5596, 4498.84, 0.0275, 0.0195, 0.0278, 0.0507, 0.0275
0.5626, 4523.70, 0.0264, 0.0142, 0.0274, 0.0524, 0.0264
0.5657, 4548.56, 0.0187, 0.0043, 0.0206, 0.0408, 0.0187
0.5688, 4573.41, 0.0069, 0.0089, 0.0096, 0.0222, 0.0069
0.5719, 4598.27, 0.0109, 0.0257, 0.0126, 0.0159, 0.0109
0.5750, 4623.12, 0.0137, 0.0310, 0.0163, 0.0343, 0.0137
0.5781, 4647.98, 0.0086, 0.0305, 0.0104, 0.0362, 0.0086
0.5812, 4672.83, 0.0167, 0.0332, 0.0172, 0.0294, 0.0167
0.5843, 4697.69, 0.0252, 0.0296, 0.0271, 0.0342, 0.0252
0.5874, 4722.54, 0.0258, 0.0183, 0.0306, 0.0379, 0.0258
0.5905, 4747.40, 0.0315, 0.0288, 0.0362, 0.0444, 0.0315
0.5936, 4772.25, 0.0286, 0.0429, 0.0296, 0.0469, 0.0286
0.5967, 4797.11, 0.0255, 0.0371, 0.0254, 0.0418, 0.0255
0.5997, 4821.97, 0.0282, 0.0322, 0.0289, 0.0327, 0.0282
0.6028, 4846.82, 0.0330, 0.0368, 0.0340, 0.0279, 0.0330
0.6059, 4871.68, 0.0385, 0.0434, 0.0399, 0.0320, 0.0385
0.6090, 4896.53, 0.0383, 0.0448, 0.0403, 0.0403, 0.0383
0.6121, 4921.39, 0.0371, 0.0426, 0.0408, 0.0457, 0.0371
0.6152, 4946.24, 0.0393, 0.0461, 0.0414, 0.0440, 0.0393
0.6183, 4971.10, 0.0427, 0.0520, 0.0424, 0.0483, 0.0427
0.6214, 4995.95, 0.0369, 0.0385, 0.0387, 0.0493, 0.0369
0.6245, 5020.81, 0.0318, 0.0303, 0.0358, 0.0422, 0.0318
0.6276, 5045.66, 0.0272, 0.0319, 0.0299, 0.0329, 0.0272
0.6307, 5070.52, 0.0287, 0.0366, 0.0295, 0.0263, 0.0287
0.6338, 5095.38, 0.0322, 0.0453, 0.0314, 0.0284, 0.0322
0.6368, 5120.23, 0.0293, 0.0439, 0.0285, 0.0222, 0.0293
0.6399, 5145.09, 0.0298, 0.0409, 0.0303, 0.0148, 0.0298
0.6430, 5169.94, 0.0273, 0.0333, 0.0296, 0.0125, 0.0273
0.6461, 5194.80, 0.0277, 0.0364, 0.0297, 0.0076, 0.0277
0.6492, 5219.65, 0.0242, 0.0392, 0.0236, 0.0167, 0.0242
0.6523, 5244.51, 0.0136, 0.0263, 0.0149, 0.0206, 0.0136
0.6554, 5269.36, 0.0129, 0.0194, 0.0166, 0.0158, 0.0129
0.6585, 5294.22, 0.0175, 0.0390, 0.0153, 0.0203, 0.0175
0.6616, 5319.08, 0.0147, 0.0388, 0.0102, 0.0293, 0.0147
0.6647, 5343.93, 0.0053, 0.0302, 0.0042, 0.0264, 0.0053
0.6678, 5368.79, 0.0056, 0.0275, 0.0092, 0.0169, 0.0056
0.6709, 5393.64, 0.0082, 0.0265, 0.0086, 0.0117, 0.0082
0.6739, 5418.50, 0.0080, 0.0300, 0.0048, 0.0121, 0.0080
0.6770, 5443.35, 0.0029, 0.0309, 0.0058, 0.0179, 0.0029
0.6801, 5468.21, 0.0032, 0.0268, 0.0097, 0.0264, 0.0032
0.6832, 5493.06, 0.0029, 0.0270, 0.0099, 0.0287, 0.0029
0.6863, 5517.92, 0.0061, 0.0252, 0.0139, 0.0256, 0.0061
0.6894, 5542.77, 0.0065, 0.0194, 0.0125, 0.0274, 0.0065
0.6925, 5567.63, 0.0090, 0.0229, 0.0152, 0.0343, 0.0090
0.6956, 5592.49, 0.0144, 0.0263, 0.0216, 0.0421, 0.0144
0.6987, 5617.34, 0.0158, 0.0252, 0.0222, 0.0478, 0.0158
0.7018, 5642.20, 0.0142, 0.0269, 0.0193, 0.0483, 0.0142
0.7049, 5667.05, 0.0164, 0.0303, 0.0204, 0.0495, 0.0164
0.7079, 5691.91, 0.0204, 0.0344, 0.0234, 0.0509, 0.0204
0.7110, 5716.76, 0.0225, 0.0398, 0.0261, 0.0498, 0.0225
0.7141, 5741.62, 0.0225, 0.0423, 0.0276, 0.0512, 0.0225
0.7172, 5766.47, 0.0242, 0.0440, 0.0293, 0.0571, 0.0242
0.7203, 5791.33, 0.0272, 0.0451, 0.0316, 0.0611, 0.0272
0.7234, 5816.19, 0.0287, 0.0446, 0.0334, 0.0604, 0.0287
0.7265, 5841.04, 0.0297, 0.0466, 0.0349, 0.0601, 0.0297
0.7296, 5865.90, 0.0305, 0.0492, 0.0362, 0.0609, 0.0305
0.7327, 5890.75, 0.0314, 0.0510, 0.0376, 0.0610, 0.0314
0.7358, 5915.61, 0.0328, 0.0534, 0.0394, 0.0614, 0.0328
0.7389, 5940.46, 0.0338, 0.0568, 0.0406, 0.0623, 0.0338
0.7420, 5965.32, 0.0346, 0.0586, 0.0419, 0.0619, 0.0346
0.7450, 5990.17, 0.0349, 0.0587, 0.0430, 0.0611, 0.0349
0.7481, 6015.03, 0.0360, 0.0594, 0.0444, 0.0623, 0.0360
0.7512, 6039.88, 0.0366, 0.0624, 0.0451, 0.0646, 0.0366
0.7543, 6064.74, 0.0345, 0.0706, 0.0434, 0.0607, 0.0345
0.7574, 6089.60, 0.0356, 0.0770, 0.0438, 0.0531, 0.0356
0.7605, 6114.45, 0.0370, 0.0736, 0.0437, 0.0473, 0.0370
0.7636, 6139.31, 0.0373, 0.0635, 0.0445, 0.0431, 0.0373
0.7667, 6164.16, 0.0394, 0.0610, 0.0490, 0.0403, 0.0394
0.7698, 6189.02, 0.0395, 0.0711, 0.0510, 0.0396, 0.0395
0.7729, 6213.87, 0.0346, 0.0783, 0.0444, 0.0348, 0.0346
0.7760, 6238.73, 0.0354, 0.0735, 0.0408, 0.0260, 0.0354
0.7791, 6263.58, 0.0477, 0.0591, 0.0602, 0.0252, 0.0477
0.7821, 6288.44, 0.0530, 0.0518, 0.0731, 0.0231, 0.0530
0.7852, 6313.29, 0.0432, 0.0594, 0.0611, 0.0244, 0.0432
0.7883, 6338.15, 0.0407, 0.0591, 0.0540, 0.0324, 0.0407
0.7914, 6363.01, 0.0392, 0.0413, 0.0524, 0.0299, 0.0392
0.7945, 6387.86, 0.0338, 0.0443, 0.0522, 0.0195, 0.0338
0.7976, 6412.72, 0.0346, 0.0546, 0.0555, 0.0122, 0.0346
0.8007, 6437.57, 0.0336, 0.0347, 0.0503, 0.0223, 0.0336
0.8038, 6462.43, 0.0253, 0.0253, 0.0399, 0.0335, 0.0253
0.8069, 6487.28, 0.0348, 0.0451, 0.0477, 0.0329, 0.0348
0.8100, 6512.14, 0.0503, 0.0570, 0.0668, 0.0363, 0.0503
0.8131, 6536.99, 0.0535, 0.0469, 0.0750, 0.0535, 0.0535
