Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff
Run date,07-May-2025 12:24:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.48, 0.9752, 0.9761, 0.9751, 0.9729, 0.9752
0.0039,   30.96, 0.8760, 0.8736, 0.8769, 0.8747, 0.8760
0.0058,   46.44, 0.7197, 0.7200, 0.7186, 0.7296, 0.7197
0.0077,   61.92, 0.5297, 0.5446, 0.5231, 0.5521, 0.5297
0.0096,   77.40, 0.3377, 0.3588, 0.3306, 0.3514, 0.3377
0.0116,   92.88, 0.1660, 0.1858, 0.1599, 0.1760, 0.1660
0.0135,  108.36, 0.0305, 0.0523, 0.0256, 0.0443, 0.0305
0.0154,  123.84, 0.0550, 0.0399, 0.0645, 0.0427, 0.0550
0.0173,  139.32, 0.1031, 0.0750, 0.1130, 0.0888, 0.1031
0.0193,  154.80, 0.1152, 0.0880, 0.1257, 0.0981, 0.1152
0.0212,  170.28, 0.0921, 0.0718, 0.0996, 0.1001, 0.0921
0.0231,  185.76, 0.0443, 0.0258, 0.0564, 0.1005, 0.0443
0.0250,  201.23, 0.0021, 0.0757, 0.0228, 0.0719, 0.0021
0.0270,  216.71, 0.0230, 0.0771, 0.0144, 0.0183, 0.0230
0.0289,  232.19, 0.0299, 0.0554, 0.0188, 0.0960, 0.0299
0.0308,  247.67, 0.0299, 0.0267, 0.0227, 0.1193, 0.0299
0.0327,  263.15, 0.0346, 0.0063, 0.0374, 0.1003, 0.0346
0.0347,  278.63, 0.0345, 0.0165, 0.0404, 0.0753, 0.0345
0.0366,  294.11, 0.0045, 0.0521, 0.0244, 0.0591, 0.0045
0.0385,  309.59, 0.0261, 0.0642, 0.0544, 0.0414, 0.0261
0.0404,  325.07, 0.0330, 0.0692, 0.0665, 0.0255, 0.0330
0.0424,  340.55, 0.0477, 0.0467, 0.0839, 0.0468, 0.0477
0.0443,  356.03, 0.0483, 0.0411, 0.0670, 0.0363, 0.0483
0.0462,  371.51, 0.0462, 0.0383, 0.0553, 0.0229, 0.0462
0.0481,  386.99, 0.0496, 0.0873, 0.0425, 0.0402, 0.0496
0.0501,  402.47, 0.0241, 0.1313, 0.0217, 0.0228, 0.0241
0.0520,  417.95, 0.0542, 0.0866, 0.0627, 0.0135, 0.0542
0.0539,  433.43, 0.0559, 0.0709, 0.0629, 0.0211, 0.0559
0.0558,  448.91, 0.0355, 0.0407, 0.0436, 0.0111, 0.0355
0.0578,  464.39, 0.0174, 0.0948, 0.0141, 0.0550, 0.0174
0.0597,  479.87, 0.0288, 0.1088, 0.0115, 0.0815, 0.0288
0.0616,  495.35, 0.0105, 0.0177, 0.0308, 0.1141, 0.0105
0.0635,  510.83, 0.0475, 0.0573, 0.0912, 0.1170, 0.0475
0.0655,  526.31, 0.0317, 0.0697, 0.0545, 0.0172, 0.0317
0.0674,  541.79, 0.0068, 0.0475, 0.0113, 0.0594, 0.0068
0.0693,  557.27, 0.0408, 0.0328, 0.0556, 0.0638, 0.0408
0.0712,  572.75, 0.0460, 0.0473, 0.0563, 0.0690, 0.0460
0.0732,  588.23, 0.0132, 0.1003, 0.0179, 0.0592, 0.0132
0.0751,  603.70, 0.0553, 0.1592, 0.0928, 0.0765, 0.0553
0.0770,  619.18, 0.0679, 0.2242, 0.0782, 0.1011, 0.0679
0.0789,  634.66, 0.0475, 0.3133, 0.0280, 0.0409, 0.0475
0.0809,  650.14, 0.0329, 0.2548, 0.0412, 0.1176, 0.0329
0.0828,  665.62, 0.0466, 0.1110, 0.0475, 0.0577, 0.0466
0.0847,  681.10, 0.0741, 0.0177, 0.1016, 0.0438, 0.0741
0.0866,  696.58, 0.0692, 0.0431, 0.0907, 0.0851, 0.0692
0.0886,  712.06, 0.0538, 0.0967, 0.0904, 0.0659, 0.0538
0.0905,  727.54, 0.0146, 0.1492, 0.0512, 0.0762, 0.0146
0.0924,  743.02, 0.0341, 0.0655, 0.0250, 0.1030, 0.0341
0.0943,  758.50, 0.0196, 0.1165, 0.0517, 0.0921, 0.0196
0.0963,  773.98, 0.0162, 0.2853, 0.0564, 0.0676, 0.0162
0.0982,  789.46, 0.0416, 0.2003, 0.0426, 0.0680, 0.0416
0.1001,  804.94, 0.0533, 0.0972, 0.0471, 0.0591, 0.0533
0.1020,  820.42, 0.0373, 0.1496, 0.0345, 0.1306, 0.0373
0.1040,  835.90, 0.0123, 0.0328, 0.0177, 0.1417, 0.0123
0.1059,  851.38, 0.0324, 0.1322, 0.0060, 0.2052, 0.0324
