Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff
Run date,07-May-2025 12:24:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.53, 1.0064, 1.0066, 1.0066, 1.0041, 1.0064
0.0039,   31.07, 1.0120, 1.0120, 1.0127, 1.0059, 1.0120
0.0058,   46.60, 1.0096, 1.0044, 1.0115, 1.0051, 1.0096
0.0077,   62.14, 0.9953, 0.9822, 0.9985, 0.9999, 0.9953
0.0097,   77.67, 0.9802, 0.9644, 0.9835, 0.9922, 0.9802
0.0116,   93.21, 0.9784, 0.9494, 0.9869, 0.9777, 0.9784
0.0135,  108.74, 0.9785, 0.9383, 0.9916, 0.9633, 0.9785
0.0155,  124.28, 0.9743, 0.9482, 0.9831, 0.9624, 0.9743
0.0174,  139.81, 0.9762, 0.9575, 0.9840, 0.9593, 0.9762
0.0193,  155.34, 0.9783, 0.9581, 0.9882, 0.9500, 0.9783
0.0213,  170.88, 0.9654, 0.9812, 0.9630, 0.9580, 0.9654
0.0232,  186.41, 0.9483, 1.0001, 0.9324, 0.9699, 0.9483
0.0251,  201.95, 0.9432, 1.0068, 0.9243, 0.9626, 0.9432
0.0271,  217.48, 0.9477, 1.0175, 0.9277, 0.9616, 0.9477
0.0290,  233.02, 0.9395, 0.9461, 0.9363, 0.9688, 0.9395
0.0309,  248.55, 0.9290, 0.8745, 0.9420, 0.9674, 0.9290
0.0328,  264.09, 0.9234, 0.8832, 0.9326, 0.9478, 0.9234
0.0348,  279.62, 0.9108, 0.8839, 0.9160, 0.9385, 0.9108
0.0367,  295.15, 0.9016, 0.8790, 0.9050, 0.9489, 0.9016
0.0386,  310.69, 0.8873, 0.8448, 0.8965, 0.9346, 0.8873
0.0406,  326.22, 0.8743, 0.8254, 0.8893, 0.8849, 0.8743
0.0425,  341.76, 0.8732, 0.8793, 0.8724, 0.8979, 0.8732
0.0444,  357.29, 0.8706, 0.8583, 0.8669, 0.9612, 0.8706
0.0464,  372.83, 0.8710, 0.7993, 0.8857, 0.9339, 0.8710
0.0483,  388.36, 0.8629, 0.8259, 0.8750, 0.8504, 0.8629
0.0502,  403.90, 0.8427, 0.8411, 0.8460, 0.8238, 0.8427
0.0522,  419.43, 0.8334, 0.8369, 0.8333, 0.8499, 0.8334
0.0541,  434.97, 0.8245, 0.7961, 0.8300, 0.8551, 0.8245
0.0560,  450.50, 0.8051, 0.7860, 0.8109, 0.8450, 0.8051
0.0580,  466.03, 0.7731, 0.8157, 0.7556, 0.8489, 0.7731
0.0599,  481.57, 0.7627, 0.7720, 0.7578, 0.7933, 0.7627
0.0618,  497.10, 0.8005, 0.7327, 0.8260, 0.7450, 0.8005
0.0638,  512.64, 0.8136, 0.8051, 0.8199, 0.7784, 0.8136
0.0657,  528.17, 0.8047, 0.8637, 0.7923, 0.7736, 0.8047
0.0676,  543.71, 0.8165, 0.8457, 0.8217, 0.7068, 0.8165
0.0696,  559.24, 0.8103, 0.9015, 0.7997, 0.6849, 0.8103
0.0715,  574.78, 0.7706, 0.9441, 0.7313, 0.7402, 0.7706
0.0734,  590.31, 0.7740, 0.8086, 0.7758, 0.7398, 0.7740
0.0754,  605.84, 0.8197, 0.7617, 0.8532, 0.6740, 0.8197
0.0773,  621.38, 0.8105, 0.8376, 0.8213, 0.6531, 0.8105
0.0792,  636.91, 0.7789, 0.7965, 0.7941, 0.6154, 0.7789
0.0812,  652.45, 0.7913, 0.7248, 0.8356, 0.5615, 0.7913
0.0831,  667.98, 0.7916, 0.7181, 0.8400, 0.5605, 0.7916
0.0850,  683.52, 0.7554, 0.6965, 0.7970, 0.5544, 0.7554
