Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 18:48:30,12-May-2025 18:48:30,12-May-2025 18:48:30,12-May-2025 18:48:30,12-May-2025 18:48:30,12-May-2025 18:48:30,12-May-2025 18:48:30,
File, potted plant_55.0 mm_6400ISO_-1EV_Dist2_ON_Focused.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , 
Lens, , , , , , , 
ISO speed, , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0165,  0.0033,  0.0069,  0.0139,  0.0106,  0.0072,  0.0171
R1090 (pxl) Mean Ctr, 26.3931, 272.6459, 183.7092, 20.5987, 35.5407, 30.2377, 21.4020
CA (pxl) Mean Ctr,  1.7648, 14.6059, 2842.8198, 66.0779, 87.5060,  5.1357, 24.0304
MTF50 (LW/PH) Mean Ctr,    132.9,     26.8,     55.9,    111.6,     85.0,     58.1,    137.8
R1090 (/PH) Mean Ctr,    152.3,     14.7,     21.9,    195.2,    113.1,    132.9,    187.8
Peak MTF Mean Ctr,   1.159,   4.262,   2.686,   2.517,   2.869,   2.486,   2.297
MTF50P (Cy/Pxl) Mean Ctr,  0.4434,  0.3276,  0.4303,  0.4609,  0.2689,  0.5033,  0.3349
MTF50P (LW/PH) Mean Ctr,   3565.2,   2633.6,   3459.5,   3705.4,   2162.2,   4046.6,   2692.2
MTF20 (Cy/Pxl) Mean Ctr,  0.0244,  0.0115,  0.0099,  0.0240,  0.0149,  0.0113,  0.0257
MTF20 (LW/PH) Mean Ctr,    195.8,     92.3,     79.4,    193.2,    120.0,     90.5,    206.8
LSF PW50 (pxl) Mean Ctr,  0.4070,  0.2922,  0.2848,  0.3366,  0.2846,  0.2894,  0.2435
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -0.15366,  0.00000, -168.97848, -0.67042, -1.41319, 29.01632, 21.03843
CA (B-G %) Mean Ctr, -0.13610,  0.00000, 140.67632,  0.72354, -1.05627, 17.52821,  1.86535
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1572,  0.1334,  0.1798,  0.1707,  0.1487,  0.1712,  0.1673
s1-MTF50. Mean Ctr,     0.01653,     0.00333,     0.00695,     0.01388,     0.01057,     0.00723,     0.01714
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.06,  0.00,  0.05,  0.05,  0.04,  0.05,  0.04
Info Capacity C_max Mean Ctr,  1.29,  1.39,  1.55,  1.33,  1.39,  1.39,  1.33
SNRi 2x8 pixels Mean Ctr,  4.81, -9.76,  3.77,  4.03,  1.18,  2.57,  2.48
Edge location sigma 2x8 Mean Ctr,  2.43, 13.51,  2.73,  3.01,  4.27,  3.18,  3.04

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
