Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,12-May-2025 19:03:19,
File, potted plant_55.0 mm_1600ISO_-3EV_Dist2_ON_Focused.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0175,  0.0105,  0.0074,  0.0194,  0.0119,  0.0071,  0.0230,  0.0044,  0.0019,  0.0062,  0.0030,  0.0032,  0.0120
R1090 (pxl) Mean Ctr, 22.5854, 194.5391, 62.9836, 13.7596, 39.8965, 32.7664, 12.4909,  5.4052, 20.4255, 228.2078, 531.2658, 248.1242, 177.5260
CA (pxl) Mean Ctr,  1.8571, 394.0448, 56.0817, 11.4574, 107.9187, 27.3689,  3.0533, 17.2361, 18.1822, 17.1843, 13.1510, 241.2538, 194.7207
MTF50 (LW/PH) Mean Ctr,    140.9,     84.4,     59.4,    156.3,     95.9,     56.9,    185.1,     35.2,     15.4,     50.1,     24.4,     25.9,     96.1
R1090 (/PH) Mean Ctr,    178.0,     20.7,     63.8,    292.2,    100.8,    122.7,    321.8,    743.7,    196.8,     17.6,      7.6,     16.2,     22.6
Peak MTF Mean Ctr,   1.236,   2.588,   2.965,   3.152,   3.045,   2.576,   2.566,  13.506,  11.059,  22.068,   1.000,   2.183,   7.254
MTF50P (Cy/Pxl) Mean Ctr,  0.4949,  0.3646,  0.4784,  0.4988,  0.4419,  0.3149,  0.3147,  0.4103,  0.4874,  0.4337,  0.0030,  0.2971,  0.4394
MTF50P (LW/PH) Mean Ctr,   3978.8,   2931.5,   3846.7,   4010.5,   3553.1,   2531.7,   2530.4,   3298.4,   3918.4,   3486.9,     24.4,   2389.0,   3532.7
MTF20 (Cy/Pxl) Mean Ctr,  0.0548,  0.0142,  0.0111,  0.0475,  0.0157,  0.0108,  0.0498,  0.0281,  0.0031,     NaN,  0.0052,  0.0059,  0.0234
MTF20 (LW/PH) Mean Ctr,    440.2,    114.3,     89.5,    382.3,    126.3,     86.9,    400.6,    225.7,     24.6,      NaN,     42.0,     47.1,    188.1
LSF PW50 (pxl) Mean Ctr,  0.3244,  0.2419,  0.2665,  0.2848,  0.2372,  0.2000,  0.3910,  0.2357,  0.2600,  0.2016,  0.3232,  0.1696,  0.2676
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr,  1.65445, 139.01767, -43.89451, -0.39070, -21.33247, -14.75923, -1.72855,  0.00000, -0.00000,  0.00000,  0.00000,  0.00000,  4.54941
CA (B-G %) Mean Ctr,  0.18672, -3.95571, -52.79216,  4.94171, 21.09708,  6.61046, -2.27811,  0.00000, -0.00000,  0.00000,  0.00000,  0.00000,  4.40191
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1693,  0.1697,  0.1516,  0.1437,  0.1332,  0.1475,  0.1510,  0.1656,  0.1467,  0.1560,  0.1739,  0.1667,  0.1625
s1-MTF50. Mean Ctr,     0.01752,     0.01050,     0.00739,     0.01944,     0.01192,     0.00708,     0.02303,     0.00438,         NaN,     0.00623,     0.00303,     0.00322,     0.01195
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.06,  0.05,  0.06,  0.04,  0.04,  0.04,  0.02,  0.00,  0.07,  0.00,  0.00,  0.00,  0.05
Info Capacity C_max Mean Ctr,  1.94,  2.19,  2.16,  2.14,  2.00,  1.88,  2.04,  6.10,  3.22,  2.39,  0.20,  1.18,  2.36
SNRi 2x8 pixels Mean Ctr,  3.84,  2.54,  3.01,  1.95,  0.05,  0.66, -2.31, -42.68,  4.33, -20.36, -53.56, -27.12,  4.38
Edge location sigma 2x8 Mean Ctr,  2.41,  3.32,  3.37,  2.96,  4.01,  4.30,  5.28, 635.84,  2.32, 39.23, 2023.96, 83.91,  2.79

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Min Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Max Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Max Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Min Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
