Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_25600ISO_0EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 18:24:28,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.74, 0.8236, 0.7952, 0.8217, 0.9146, 0.8236
0.0062,   49.48, 0.5974, 0.6337, 0.5891, 0.6035, 0.5974
0.0092,   74.22, 0.2664, 0.3525, 0.2394, 0.3450, 0.2664
0.0123,   98.96, 0.0750, 0.2801, 0.0575, 0.2018, 0.0750
0.0154,  123.71, 0.0860, 0.2664, 0.0910, 0.1407, 0.0860
0.0185,  148.45, 0.0948, 0.2065, 0.1400, 0.0484, 0.0948
0.0215,  173.19, 0.0734, 0.2051, 0.1121, 0.2088, 0.0734
0.0246,  197.93, 0.0379, 0.2518, 0.0412, 0.2683, 0.0379
0.0277,  222.67, 0.0470, 0.1954, 0.0439, 0.1494, 0.0470
0.0308,  247.41, 0.1140, 0.3975, 0.1123, 0.2662, 0.1140
0.0338,  272.15, 0.1652, 0.4859, 0.2263, 0.3036, 0.1652
0.0369,  296.89, 0.2291, 0.5397, 0.3074, 0.0543, 0.2291
0.0400,  321.63, 0.1032, 0.4593, 0.2251, 0.0644, 0.1032
0.0431,  346.38, 0.1326, 0.4562, 0.3047, 0.5032, 0.1326
0.0462,  371.12, 0.2173, 0.3448, 0.3366, 0.4096, 0.2173
0.0492,  395.86, 0.0803, 0.1522, 0.0527, 0.3252, 0.0803
0.0523,  420.60, 0.1104, 0.7532, 0.0838, 0.6346, 0.1104
0.0554,  445.34, 0.1137, 1.1700, 0.2168, 0.7166, 0.1137
0.0585,  470.08, 0.2155, 1.0513, 0.0233, 0.3859, 0.2155
0.0615,  494.82, 0.1996, 0.5577, 0.1318, 0.2269, 0.1996
0.0646,  519.56, 0.0442, 0.3201, 0.0885, 0.3779, 0.0442
0.0677,  544.30, 0.1763, 0.5548, 0.1284, 0.4681, 0.1763
0.0708,  569.05, 0.2250, 0.2939, 0.2635, 0.2293, 0.2250
0.0739,  593.79, 0.1720, 0.2885, 0.3008, 0.1741, 0.1720
0.0769,  618.53, 0.2443, 0.3354, 0.3957, 0.3786, 0.2443
0.0800,  643.27, 0.3160, 0.6188, 0.4318, 0.0627, 0.3160
0.0831,  668.01, 0.1748, 0.8730, 0.3037, 0.6069, 0.1748
