Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_6400ISO_-1EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 18:48:30,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.78, 0.9822, 1.0014, 0.9770, 0.9885, 0.9822
0.0062,   49.56, 0.9164, 0.9879, 0.8970, 0.9411, 0.9164
0.0092,   74.34, 0.8115, 0.9112, 0.7831, 0.8599, 0.8115
0.0123,   99.12, 0.6922, 0.7685, 0.6678, 0.7593, 0.6922
0.0154,  123.90, 0.5574, 0.5777, 0.5494, 0.6286, 0.5574
0.0185,  148.68, 0.3989, 0.3687, 0.3991, 0.4922, 0.3989
0.0216,  173.46, 0.2737, 0.2131, 0.2784, 0.3848, 0.2737
0.0247,  198.24, 0.1920, 0.2448, 0.1827, 0.3147, 0.1920
0.0277,  223.02, 0.1884, 0.4190, 0.1297, 0.2944, 0.1884
0.0308,  247.80, 0.2621, 0.4136, 0.2350, 0.3327, 0.2621
0.0339,  272.58, 0.2879, 0.1443, 0.3470, 0.3467, 0.2879
0.0370,  297.36, 0.2965, 0.0658, 0.3682, 0.3048, 0.2965
0.0401,  322.14, 0.3934, 0.4458, 0.3808, 0.3991, 0.3934
0.0431,  346.92, 0.5371, 0.8005, 0.4973, 0.3172, 0.5371
0.0462,  371.70, 0.5646, 0.8610, 0.5289, 0.2359, 0.5646
0.0493,  396.48, 0.4496, 0.6395, 0.4275, 0.2408, 0.4496
0.0524,  421.26, 0.3860, 0.2211, 0.4346, 0.3459, 0.3860
0.0555,  446.04, 0.4359, 0.1730, 0.5288, 0.5640, 0.4359
0.0586,  470.81, 0.4478, 0.4669, 0.4862, 0.7141, 0.4478
0.0616,  495.59, 0.3519, 0.7098, 0.3122, 0.7158, 0.3519
0.0647,  520.37, 0.3220, 0.5538, 0.2845, 0.7191, 0.3220
0.0678,  545.15, 0.3107, 0.4388, 0.3205, 0.7869, 0.3107
0.0709,  569.93, 0.1794, 0.4616, 0.2055, 0.5368, 0.1794
0.0740,  594.71, 0.1460, 0.5195, 0.1355, 0.2621, 0.1460
0.0771,  619.49, 0.1565, 0.3500, 0.1847, 0.3349, 0.1565
0.0801,  644.27, 0.0352, 0.5726, 0.2639, 0.7720, 0.0352
0.0832,  669.05, 0.1251, 0.7222, 0.3037, 0.8501, 0.1251
0.0863,  693.83, 0.1960, 0.7595, 0.0562, 0.5237, 0.1960
0.0894,  718.61, 0.1971, 0.6643, 0.1037, 0.3847, 0.1971
0.0925,  743.39, 0.0956, 0.8567, 0.2036, 0.1777, 0.0956
0.0955,  768.17, 0.0383, 0.9573, 0.2552, 0.3513, 0.0383
0.0986,  792.95, 0.1653, 0.5968, 0.2941, 0.4689, 0.1653
0.1017,  817.73, 0.2864, 0.3916, 0.4486, 0.3599, 0.2864
0.1048,  842.51, 0.3543, 0.4149, 0.5640, 0.3467, 0.3543
