Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_6400ISO_0EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 18:24:28,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.82, 1.0007, 1.0010, 1.0002, 1.0053, 1.0007
0.0062,   49.63, 0.9957, 1.0229, 0.9872, 1.0101, 0.9957
0.0093,   74.45, 0.9881, 1.0376, 0.9739, 0.9996, 0.9881
0.0123,   99.26, 0.9789, 1.0070, 0.9724, 0.9723, 0.9789
0.0154,  124.08, 0.9769, 1.0019, 0.9738, 0.9431, 0.9769
0.0185,  148.89, 0.9750, 1.0350, 0.9651, 0.9214, 0.9750
0.0216,  173.71, 0.9449, 1.0505, 0.9203, 0.9321, 0.9449
0.0247,  198.53, 0.9124, 1.0562, 0.8680, 0.9923, 0.9124
0.0278,  223.34, 0.8956, 1.0192, 0.8492, 1.0413, 0.8956
0.0309,  248.16, 0.8985, 0.9580, 0.8734, 1.0063, 0.8985
0.0340,  272.97, 0.8944, 0.8887, 0.8911, 0.9537, 0.8944
0.0370,  297.79, 0.8803, 0.8966, 0.8725, 0.9235, 0.8803
0.0401,  322.60, 0.8526, 0.9512, 0.8227, 0.9268, 0.8526
0.0432,  347.42, 0.8258, 0.8114, 0.8307, 0.8880, 0.8258
0.0463,  372.24, 0.8097, 0.7034, 0.8377, 0.8123, 0.8097
0.0494,  397.05, 0.8216, 0.8876, 0.8139, 0.7588, 0.8216
0.0525,  421.87, 0.8368, 0.8620, 0.8402, 0.8241, 0.8368
0.0556,  446.68, 0.7588, 0.6555, 0.7870, 0.9495, 0.7588
0.0586,  471.50, 0.6792, 0.6361, 0.6728, 1.0013, 0.6792
0.0617,  496.32, 0.6950, 0.8949, 0.6184, 1.0480, 0.6950
0.0648,  521.13, 0.7462, 0.8104, 0.7107, 1.0508, 0.7462
0.0679,  545.95, 0.7715, 0.6000, 0.8041, 0.9497, 0.7715
0.0710,  570.76, 0.7740, 0.7493, 0.7831, 0.7563, 0.7740
0.0741,  595.58, 0.7315, 0.7939, 0.7308, 0.6116, 0.7315
0.0772,  620.39, 0.6709, 0.6118, 0.7056, 0.5419, 0.6709
0.0802,  645.21, 0.6674, 0.5495, 0.7271, 0.5918, 0.6674
0.0833,  670.03, 0.6942, 0.5949, 0.7551, 0.7247, 0.6942
0.0864,  694.84, 0.6717, 0.5868, 0.7048, 0.7293, 0.6717
0.0895,  719.66, 0.5967, 0.5837, 0.5806, 0.8542, 0.5967
0.0926,  744.47, 0.5480, 0.7473, 0.4738, 0.8294, 0.5480
0.0957,  769.29, 0.6277, 0.8413, 0.5817, 0.5846, 0.6277
0.0988,  794.10, 0.7400, 0.8315, 0.7558, 0.3304, 0.7400
0.1019,  818.92, 0.7201, 0.9613, 0.7057, 0.3335, 0.7201
0.1049,  843.74, 0.6119, 0.9850, 0.5414, 0.6625, 0.6119
0.1080,  868.55, 0.5423, 0.8711, 0.4498, 0.8385, 0.5423
0.1111,  893.37, 0.5309, 0.6825, 0.5766, 0.7791, 0.5309
0.1142,  918.18, 0.5682, 0.4609, 0.6850, 0.6776, 0.5682
0.1173,  943.00, 0.6331, 0.6157, 0.6976, 0.3511, 0.6331
0.1204,  967.81, 0.6975, 0.6695, 0.7618, 0.1561, 0.6975
0.1235,  992.63, 0.6607, 0.4620, 0.7459, 0.3322, 0.6607
0.1265, 1017.45, 0.5798, 0.4396, 0.6571, 0.3868, 0.5798
0.1296, 1042.26, 0.6069, 0.7731, 0.6092, 0.4377, 0.6069
0.1327, 1067.08, 0.6287, 0.8448, 0.6142, 0.2323, 0.6287
0.1358, 1091.89, 0.5322, 0.3503, 0.6201, 0.2759, 0.5322
0.1389, 1116.71, 0.4734, 0.3168, 0.5563, 0.3689, 0.4734
0.1420, 1141.52, 0.5081, 0.7639, 0.4696, 0.2536, 0.5081
0.1451, 1166.34, 0.5171, 0.6955, 0.5325, 0.3431, 0.5171
0.1482, 1191.16, 0.4989, 0.3455, 0.6060, 0.2385, 0.4989
0.1512, 1215.97, 0.4660, 0.4292, 0.5134, 0.0897, 0.4660
0.1543, 1240.79, 0.4161, 0.4146, 0.4488, 0.1717, 0.4161
0.1574, 1265.60, 0.3609, 0.1556, 0.4335, 0.2606, 0.3609
0.1605, 1290.42, 0.2849, 0.0875, 0.3457, 0.1939, 0.2849
0.1636, 1315.24, 0.2777, 0.0973, 0.3415, 0.1897, 0.2777
0.1667, 1340.05, 0.2262, 0.0586, 0.2943, 0.3755, 0.2262
0.1698, 1364.87, 0.1132, 0.1937, 0.1750, 0.2995, 0.1132
0.1728, 1389.68, 0.1592, 0.1617, 0.2269, 0.3351, 0.1592
0.1759, 1414.50, 0.2010, 0.2474, 0.3054, 0.2767, 0.2010
0.1790, 1439.31, 0.2393, 0.3049, 0.3885, 0.1436, 0.2393
0.1821, 1464.13, 0.2581, 0.2304, 0.3620, 0.1685, 0.2581
0.1852, 1488.95, 0.2086, 0.1896, 0.2236, 0.1950, 0.2086
0.1883, 1513.76, 0.2935, 0.5235, 0.2534, 0.1561, 0.2935
0.1914, 1538.58, 0.4665, 0.6309, 0.4746, 0.1283, 0.4665
0.1945, 1563.39, 0.4734, 0.3158, 0.5590, 0.0654, 0.4734
0.1975, 1588.21, 0.3845, 0.1557, 0.4782, 0.3622, 0.3845
0.2006, 1613.02, 0.3580, 0.2176, 0.4252, 0.6915, 0.3580
0.2037, 1637.84, 0.2846, 0.1515, 0.3401, 0.5315, 0.2846
0.2068, 1662.66, 0.1386, 0.1758, 0.2220, 0.2079, 0.1386
0.2099, 1687.47, 0.0794, 0.2921, 0.1807, 0.0442, 0.0794
0.2130, 1712.29, 0.1848, 0.1556, 0.2842, 0.1788, 0.1848
0.2161, 1737.10, 0.3495, 0.1689, 0.4304, 0.4075, 0.3495
0.2191, 1761.92, 0.4012, 0.2566, 0.4528, 0.5032, 0.4012
0.2222, 1786.73, 0.3312, 0.2070, 0.3726, 0.4494, 0.3312
0.2253, 1811.55, 0.2431, 0.2195, 0.2690, 0.3483, 0.2431
0.2284, 1836.37, 0.2213, 0.2903, 0.1984, 0.3796, 0.2213
0.2315, 1861.18, 0.2470, 0.2420, 0.2359, 0.3814, 0.2470
0.2346, 1886.00, 0.1696, 0.1367, 0.1708, 0.3001, 0.1696
0.2377, 1910.81, 0.0936, 0.1565, 0.0998, 0.1722, 0.0936
0.2407, 1935.63, 0.1346, 0.2541, 0.1637, 0.0777, 0.1346
0.2438, 1960.44, 0.1392, 0.3059, 0.1368, 0.1584, 0.1392
0.2469, 1985.26, 0.1331, 0.3638, 0.0700, 0.3466, 0.1331
0.2500, 2010.08, 0.1976, 0.4549, 0.1143, 0.3803, 0.1976
0.2531, 2034.89, 0.2086, 0.4615, 0.1421, 0.2695, 0.2086
0.2562, 2059.71, 0.1301, 0.3217, 0.1175, 0.1855, 0.1301
0.2593, 2084.52, 0.1154, 0.1618, 0.1287, 0.2435, 0.1154
0.2624, 2109.34, 0.1907, 0.2075, 0.1975, 0.3039, 0.1907
0.2654, 2134.16, 0.2392, 0.2853, 0.2381, 0.3210, 0.2392
0.2685, 2158.97, 0.2229, 0.3361, 0.2037, 0.3349, 0.2229
0.2716, 2183.79, 0.1986, 0.3515, 0.1856, 0.3712, 0.1986
0.2747, 2208.60, 0.1782, 0.3213, 0.1968, 0.4061, 0.1782
0.2778, 2233.42, 0.1566, 0.2772, 0.1903, 0.4052, 0.1566
0.2809, 2258.23, 0.1423, 0.2398, 0.1711, 0.4047, 0.1423
0.2840, 2283.05, 0.0958, 0.1893, 0.1177, 0.3477, 0.0958
0.2870, 2307.87, 0.0849, 0.1819, 0.1153, 0.3188, 0.0849
0.2901, 2332.68, 0.1031, 0.1778, 0.1547, 0.3585, 0.1031
0.2932, 2357.50, 0.0809, 0.1969, 0.1417, 0.3713, 0.0809
0.2963, 2382.31, 0.0660, 0.1418, 0.1264, 0.3193, 0.0660
0.2994, 2407.13, 0.1163, 0.1024, 0.1719, 0.2422, 0.1163
0.3025, 2431.94, 0.1408, 0.1493, 0.1819, 0.2183, 0.1408
0.3056, 2456.76, 0.0982, 0.1750, 0.1344, 0.2371, 0.0982
0.3087, 2481.58, 0.0549, 0.1309, 0.1201, 0.2742, 0.0549
0.3117, 2506.39, 0.0560, 0.0686, 0.1190, 0.2677, 0.0560
0.3148, 2531.21, 0.0691, 0.0687, 0.1172, 0.2193, 0.0691
0.3179, 2556.02, 0.1133, 0.0671, 0.1665, 0.1734, 0.1133
0.3210, 2580.84, 0.1457, 0.0654, 0.1993, 0.1328, 0.1457
0.3241, 2605.65, 0.1227, 0.0385, 0.1667, 0.1400, 0.1227
0.3272, 2630.47, 0.0960, 0.0235, 0.1404, 0.1551, 0.0960
0.3303, 2655.29, 0.1031, 0.0324, 0.1461, 0.1485, 0.1031
0.3333, 2680.10, 0.0907, 0.0464, 0.1210, 0.1254, 0.0907
0.3364, 2704.92, 0.0630, 0.0292, 0.0863, 0.0966, 0.0630
0.3395, 2729.73, 0.0595, 0.0277, 0.0794, 0.0673, 0.0595
0.3426, 2754.55, 0.0660, 0.0393, 0.0817, 0.0294, 0.0660
0.3457, 2779.36, 0.0693, 0.0447, 0.0811, 0.0173, 0.0693
0.3488, 2804.18, 0.0660, 0.0428, 0.0756, 0.0374, 0.0660
0.3519, 2829.00, 0.0663, 0.0447, 0.0727, 0.0603, 0.0663
0.3550, 2853.81, 0.0687, 0.0559, 0.0707, 0.0853, 0.0687
0.3580, 2878.63, 0.0687, 0.0650, 0.0672, 0.1037, 0.0687
0.3611, 2903.44, 0.0639, 0.0607, 0.0615, 0.1186, 0.0639
0.3642, 2928.26, 0.0611, 0.0603, 0.0589, 0.1283, 0.0611
0.3673, 2953.08, 0.0614, 0.0638, 0.0603, 0.1371, 0.0614
0.3704, 2977.89, 0.0590, 0.0607, 0.0601, 0.1468, 0.0590
0.3735, 3002.71, 0.0592, 0.0596, 0.0610, 0.1628, 0.0592
0.3766, 3027.52, 0.0651, 0.0617, 0.0685, 0.1705, 0.0651
0.3796, 3052.34, 0.0715, 0.0651, 0.0774, 0.1708, 0.0715
0.3827, 3077.15, 0.0746, 0.0693, 0.0804, 0.1844, 0.0746
0.3858, 3101.97, 0.0714, 0.0620, 0.0786, 0.1877, 0.0714
0.3889, 3126.79, 0.0685, 0.0595, 0.0801, 0.1768, 0.0685
0.3920, 3151.60, 0.0808, 0.0764, 0.0924, 0.1630, 0.0808
0.3951, 3176.42, 0.0927, 0.0954, 0.1028, 0.1404, 0.0927
0.3982, 3201.23, 0.0714, 0.0846, 0.0807, 0.1392, 0.0714
0.4012, 3226.05, 0.0612, 0.0724, 0.0669, 0.1869, 0.0612
0.4043, 3250.86, 0.0788, 0.0757, 0.0843, 0.1954, 0.0788
0.4074, 3275.68, 0.0632, 0.0620, 0.0687, 0.1553, 0.0632
0.4105, 3300.50, 0.0847, 0.0971, 0.0835, 0.1628, 0.0847
0.4136, 3325.31, 0.1445, 0.1617, 0.1394, 0.2191, 0.1445
0.4167, 3350.13, 0.1352, 0.1568, 0.1287, 0.1957, 0.1352
0.4198, 3374.94, 0.0909, 0.1293, 0.0843, 0.1121, 0.0909
0.4229, 3399.76, 0.0902, 0.1514, 0.0816, 0.0914, 0.0902
0.4259, 3424.57, 0.0741, 0.1386, 0.0652, 0.0976, 0.0741
0.4290, 3449.39, 0.0706, 0.1238, 0.0581, 0.1207, 0.0706
0.4321, 3474.21, 0.1024, 0.1519, 0.0876, 0.1630, 0.1024
0.4352, 3499.02, 0.0946, 0.1519, 0.0777, 0.1526, 0.0946
0.4383, 3523.84, 0.0500, 0.0988, 0.0377, 0.0869, 0.0500
0.4414, 3548.65, 0.0478, 0.0866, 0.0401, 0.0648, 0.0478
0.4445, 3573.47, 0.0881, 0.1230, 0.0853, 0.0933, 0.0881
0.4475, 3598.28, 0.0851, 0.1314, 0.0828, 0.1055, 0.0851
0.4506, 3623.10, 0.0268, 0.0905, 0.0332, 0.1059, 0.0268
0.4537, 3647.92, 0.0359, 0.0552, 0.0518, 0.1112, 0.0359
0.4568, 3672.73, 0.0699, 0.1120, 0.0617, 0.1260, 0.0699
0.4599, 3697.55, 0.0868, 0.1488, 0.0678, 0.1397, 0.0868
0.4630, 3722.36, 0.0476, 0.1160, 0.0258, 0.1167, 0.0476
0.4661, 3747.18, 0.0271, 0.0674, 0.0412, 0.0482, 0.0271
0.4692, 3772.00, 0.0708, 0.0209, 0.0889, 0.0369, 0.0708
0.4722, 3796.81, 0.1051, 0.0990, 0.1125, 0.1117, 0.1051
0.4753, 3821.63, 0.1240, 0.1459, 0.1153, 0.2065, 0.1240
0.4784, 3846.44, 0.1363, 0.1623, 0.1255, 0.1984, 0.1363
0.4815, 3871.26, 0.0943, 0.1134, 0.0833, 0.1570, 0.0943
0.4846, 3896.07, 0.0659, 0.0782, 0.0538, 0.1712, 0.0659
0.4877, 3920.89, 0.0915, 0.1379, 0.0736, 0.1547, 0.0915
0.4908, 3945.71, 0.1182, 0.1571, 0.1048, 0.1518, 0.1182
0.4938, 3970.52, 0.0864, 0.0668, 0.0840, 0.1725, 0.0864
0.4969, 3995.34, 0.0343, 0.0470, 0.0392, 0.1308, 0.0343
0.5000, 4020.15, 0.0689, 0.0561, 0.0870, 0.1052, 0.0689
0.5031, 4044.97, 0.0983, 0.0636, 0.1159, 0.1243, 0.0983
0.5062, 4069.78, 0.1042, 0.0687, 0.1276, 0.0318, 0.1042
0.5093, 4094.60, 0.1486, 0.1212, 0.1706, 0.0792, 0.1486
0.5124, 4119.42, 0.1816, 0.1648, 0.1977, 0.1189, 0.1816
0.5155, 4144.23, 0.1697, 0.1437, 0.1885, 0.1219, 0.1697
0.5185, 4169.05, 0.1336, 0.1360, 0.1499, 0.1168, 0.1336
0.5216, 4193.86, 0.1497, 0.1705, 0.1609, 0.0895, 0.1497
0.5247, 4218.68, 0.1445, 0.1692, 0.1531, 0.0598, 0.1445
0.5278, 4243.49, 0.0971, 0.1405, 0.0985, 0.0340, 0.0971
0.5309, 4268.31, 0.0884, 0.1391, 0.0865, 0.0295, 0.0884
0.5340, 4293.13, 0.1300, 0.1436, 0.1431, 0.0448, 0.1300
0.5371, 4317.94, 0.1383, 0.1352, 0.1562, 0.0308, 0.1383
0.5401, 4342.76, 0.1236, 0.1801, 0.1205, 0.0519, 0.1236
0.5432, 4367.57, 0.1151, 0.1916, 0.1028, 0.0927, 0.1151
0.5463, 4392.39, 0.1550, 0.2418, 0.1427, 0.1202, 0.1550
0.5494, 4417.20, 0.1706, 0.2376, 0.1656, 0.0895, 0.1706
0.5525, 4442.02, 0.1516, 0.1621, 0.1602, 0.0440, 0.1516
0.5556, 4466.84, 0.1581, 0.1443, 0.1658, 0.1268, 0.1581
0.5587, 4491.65, 0.1575, 0.1658, 0.1602, 0.1298, 0.1575
0.5617, 4516.47, 0.1747, 0.2115, 0.1718, 0.1426, 0.1747
0.5648, 4541.28, 0.2242, 0.2771, 0.2168, 0.1857, 0.2242
0.5679, 4566.10, 0.2849, 0.3443, 0.2794, 0.2163, 0.2849
0.5710, 4590.92, 0.2478, 0.3029, 0.2472, 0.1740, 0.2478
0.5741, 4615.73, 0.1704, 0.2068, 0.1727, 0.1440, 0.1704
0.5772, 4640.55, 0.1812, 0.1744, 0.1830, 0.2033, 0.1812
0.5803, 4665.36, 0.2817, 0.3149, 0.2765, 0.2499, 0.2817
0.5834, 4690.18, 0.2512, 0.3092, 0.2362, 0.2560, 0.2512
0.5864, 4714.99, 0.1871, 0.2203, 0.1764, 0.2136, 0.1871
0.5895, 4739.81, 0.2105, 0.2515, 0.2058, 0.1815, 0.2105
0.5926, 4764.63, 0.2214, 0.2876, 0.2142, 0.1641, 0.2214
0.5957, 4789.44, 0.2066, 0.2563, 0.2048, 0.1277, 0.2066
0.5988, 4814.26, 0.2437, 0.2819, 0.2429, 0.1557, 0.2437
0.6019, 4839.07, 0.2838, 0.3087, 0.2835, 0.2274, 0.2838
0.6050, 4863.89, 0.2853, 0.2879, 0.2882, 0.2503, 0.2853
0.6080, 4888.70, 0.2485, 0.2808, 0.2479, 0.1772, 0.2485
0.6111, 4913.52, 0.2595, 0.3081, 0.2567, 0.1747, 0.2595
0.6142, 4938.34, 0.3128, 0.3733, 0.3058, 0.2346, 0.3128
0.6173, 4963.15, 0.3134, 0.3824, 0.3072, 0.2001, 0.3134
0.6204, 4987.97, 0.3290, 0.3943, 0.3303, 0.1570, 0.3290
0.6235, 5012.78, 0.3079, 0.3957, 0.3053, 0.1131, 0.3079
0.6266, 5037.60, 0.2161, 0.3099, 0.2087, 0.0512, 0.2161
0.6297, 5062.41, 0.1996, 0.2626, 0.1992, 0.0612, 0.1996
0.6327, 5087.23, 0.2357, 0.2765, 0.2419, 0.0857, 0.2357
0.6358, 5112.05, 0.2369, 0.2636, 0.2444, 0.1082, 0.2369
0.6389, 5136.86, 0.2338, 0.2552, 0.2372, 0.1617, 0.2338
0.6420, 5161.68, 0.2136, 0.2215, 0.2180, 0.1983, 0.2136
0.6451, 5186.49, 0.1758, 0.1621, 0.1885, 0.1876, 0.1758
