Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_1600ISO_0EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:11:55,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.86, 1.0056, 1.0033, 1.0064, 1.0036, 1.0056
0.0062,   49.72, 1.0055, 1.0041, 1.0073, 0.9925, 1.0055
0.0093,   74.58, 0.9969, 0.9983, 0.9990, 0.9738, 0.9969
0.0124,   99.44, 0.9824, 0.9660, 0.9887, 0.9685, 0.9824
0.0155,  124.30, 0.9745, 0.9500, 0.9827, 0.9656, 0.9745
0.0186,  149.16, 0.9774, 0.9626, 0.9850, 0.9495, 0.9774
0.0216,  174.02, 0.9656, 0.9371, 0.9752, 0.9598, 0.9656
0.0247,  198.88, 0.9457, 0.8938, 0.9598, 0.9592, 0.9457
0.0278,  223.74, 0.9344, 0.8777, 0.9525, 0.9245, 0.9344
0.0309,  248.61, 0.9282, 0.9103, 0.9338, 0.9306, 0.9282
0.0340,  273.47, 0.9262, 0.9423, 0.9232, 0.9203, 0.9262
0.0371,  298.33, 0.9336, 0.9490, 0.9372, 0.8645, 0.9336
0.0402,  323.19, 0.9290, 0.9424, 0.9354, 0.8363, 0.9290
0.0433,  348.05, 0.9151, 0.9352, 0.9191, 0.8299, 0.9151
0.0464,  372.91, 0.9079, 0.9506, 0.9078, 0.8159, 0.9079
0.0495,  397.77, 0.8881, 0.9240, 0.8876, 0.8139, 0.8881
0.0526,  422.63, 0.8747, 0.8721, 0.8806, 0.8349, 0.8747
0.0557,  447.49, 0.8638, 0.8464, 0.8715, 0.8510, 0.8638
0.0588,  472.35, 0.8191, 0.8195, 0.8176, 0.8481, 0.8191
0.0618,  497.21, 0.8006, 0.8260, 0.7946, 0.8257, 0.8006
0.0649,  522.07, 0.8191, 0.8332, 0.8245, 0.8285, 0.8191
0.0680,  546.93, 0.8135, 0.7986, 0.8264, 0.8536, 0.8135
0.0711,  571.79, 0.7956, 0.7437, 0.8173, 0.7891, 0.7956
0.0742,  596.65, 0.7922, 0.6971, 0.8353, 0.6970, 0.7922
0.0773,  621.51, 0.8027, 0.7677, 0.8316, 0.6794, 0.8027
0.0804,  646.37, 0.8077, 0.8246, 0.8168, 0.7380, 0.8077
0.0835,  671.23, 0.7732, 0.6725, 0.8051, 0.7686, 0.7732
0.0866,  696.10, 0.7840, 0.5923, 0.8544, 0.6417, 0.7840
0.0897,  720.96, 0.8238, 0.6912, 0.8884, 0.6116, 0.8238
0.0928,  745.82, 0.7616, 0.7610, 0.7656, 0.8019, 0.7616
0.0959,  770.68, 0.6933, 0.7370, 0.6677, 0.9170, 0.6933
0.0989,  795.54, 0.7032, 0.7125, 0.6979, 0.8667, 0.7032
0.1020,  820.40, 0.6946, 0.6605, 0.7014, 0.7575, 0.6946
0.1051,  845.26, 0.6654, 0.6215, 0.6747, 0.6978, 0.6654
0.1082,  870.12, 0.6793, 0.5584, 0.7194, 0.6592, 0.6793
0.1113,  894.98, 0.6879, 0.5508, 0.7388, 0.6866, 0.6879
0.1144,  919.84, 0.6456, 0.6317, 0.6396, 0.7849, 0.6456
0.1175,  944.70, 0.6475, 0.6850, 0.6254, 0.7874, 0.6475
0.1206,  969.56, 0.6564, 0.6512, 0.6542, 0.7118, 0.6564
0.1237,  994.42, 0.6525, 0.6941, 0.6394, 0.6968, 0.6525
0.1268, 1019.28, 0.6801, 0.7516, 0.6569, 0.7534, 0.6801
0.1299, 1044.14, 0.6846, 0.7021, 0.6753, 0.7496, 0.6846
0.1330, 1069.00, 0.6318, 0.6225, 0.6326, 0.6731, 0.6318
0.1361, 1093.86, 0.5608, 0.5089, 0.5715, 0.6629, 0.5608
0.1391, 1118.72, 0.5277, 0.4731, 0.5375, 0.6414, 0.5277
0.1422, 1143.58, 0.5342, 0.4693, 0.5551, 0.5560, 0.5342
0.1453, 1168.45, 0.5100, 0.3900, 0.5441, 0.5227, 0.5100
0.1484, 1193.31, 0.4805, 0.4506, 0.4871, 0.5179, 0.4805
0.1515, 1218.17, 0.4867, 0.5720, 0.4634, 0.5489, 0.4867
0.1546, 1243.03, 0.4450, 0.5190, 0.4162, 0.6006, 0.4450
0.1577, 1267.89, 0.4133, 0.4213, 0.3937, 0.5867, 0.4133
0.1608, 1292.75, 0.4836, 0.4982, 0.4786, 0.5260, 0.4836
0.1639, 1317.61, 0.4832, 0.5554, 0.4746, 0.4746, 0.4832
0.1670, 1342.47, 0.4158, 0.3869, 0.4358, 0.3893, 0.4158
0.1701, 1367.33, 0.4163, 0.3083, 0.4587, 0.3791, 0.4163
0.1732, 1392.19, 0.3965, 0.3542, 0.4130, 0.4393, 0.3965
0.1763, 1417.05, 0.3827, 0.4354, 0.3769, 0.4332, 0.3827
0.1793, 1441.91, 0.4158, 0.5025, 0.4053, 0.3999, 0.4158
0.1824, 1466.77, 0.4272, 0.5088, 0.4229, 0.3226, 0.4272
0.1855, 1491.63, 0.4016, 0.4425, 0.4076, 0.3212, 0.4016
0.1886, 1516.49, 0.3532, 0.2910, 0.3770, 0.4427, 0.3532
0.1917, 1541.35, 0.3239, 0.1565, 0.3686, 0.4992, 0.3239
0.1948, 1566.21, 0.3477, 0.1286, 0.4050, 0.4779, 0.3477
0.1979, 1591.07, 0.3728, 0.2281, 0.4237, 0.3345, 0.3728
0.2010, 1615.94, 0.3708, 0.3784, 0.3928, 0.2012, 0.3708
0.2041, 1640.80, 0.3387, 0.4930, 0.3279, 0.2390, 0.3387
0.2072, 1665.66, 0.2929, 0.4282, 0.2842, 0.2839, 0.2929
0.2103, 1690.52, 0.2800, 0.2646, 0.2942, 0.3196, 0.2800
0.2134, 1715.38, 0.2931, 0.2793, 0.2959, 0.3817, 0.2931
0.2164, 1740.24, 0.3199, 0.3796, 0.3015, 0.3855, 0.3199
0.2195, 1765.10, 0.3218, 0.3640, 0.3058, 0.3657, 0.3218
0.2226, 1789.96, 0.3080, 0.3382, 0.2987, 0.3170, 0.3080
0.2257, 1814.82, 0.2800, 0.3185, 0.2792, 0.2760, 0.2800
0.2288, 1839.68, 0.2466, 0.2945, 0.2551, 0.2372, 0.2466
0.2319, 1864.54, 0.2227, 0.2322, 0.2351, 0.2088, 0.2227
0.2350, 1889.40, 0.2212, 0.2012, 0.2375, 0.2547, 0.2212
0.2381, 1914.26, 0.2613, 0.2167, 0.2902, 0.2712, 0.2613
