Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_25600ISO_+1EV_Dist2_ON_Defocus1.tiff
Run date,07-May-2025 11:58:31,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0020,   16.44, 0.9597, 0.9452, 0.9661, 0.9361, 0.9597
0.0041,   32.89, 0.8338, 0.8071, 0.8438, 0.8059, 0.8338
0.0061,   49.33, 0.6277, 0.6001, 0.6384, 0.6030, 0.6277
0.0082,   65.78, 0.4004, 0.3847, 0.4113, 0.4201, 0.4004
0.0102,   82.22, 0.1881, 0.1516, 0.2117, 0.2569, 0.1881
0.0123,   98.67, 0.0778, 0.0977, 0.1110, 0.1812, 0.0778
0.0143,  115.11, 0.1133, 0.1139, 0.1587, 0.2441, 0.1133
0.0164,  131.55, 0.1531, 0.1425, 0.1665, 0.2970, 0.1531
0.0184,  148.00, 0.1951, 0.2424, 0.1772, 0.2682, 0.1951
0.0205,  164.44, 0.1858, 0.1807, 0.1899, 0.1777, 0.1858
0.0225,  180.89, 0.1159, 0.0720, 0.1197, 0.1994, 0.1159
0.0245,  197.33, 0.0760, 0.1382, 0.0776, 0.1786, 0.0760
0.0266,  213.78, 0.1047, 0.3468, 0.0708, 0.1161, 0.1047
0.0286,  230.22, 0.0578, 0.2778, 0.0483, 0.1026, 0.0578
0.0307,  246.67, 0.1015, 0.2119, 0.0966, 0.1465, 0.1015
0.0327,  263.11, 0.1735, 0.4377, 0.1760, 0.3425, 0.1735
0.0348,  279.55, 0.1497, 0.2320, 0.1608, 0.1552, 0.1497
0.0368,  296.00, 0.1003, 0.1910, 0.1913, 0.0798, 0.1003
0.0389,  312.44, 0.0577, 0.3235, 0.1198, 0.1464, 0.0577
0.0409,  328.89, 0.0228, 0.0517, 0.0162, 0.1945, 0.0228
0.0430,  345.33, 0.0440, 0.3221, 0.0061, 0.2312, 0.0440
0.0450,  361.78, 0.0579, 0.4993, 0.0407, 0.3825, 0.0579
0.0470,  378.22, 0.0718, 0.6418, 0.1470, 0.0943, 0.0718
0.0491,  394.66, 0.0926, 0.5474, 0.1545, 0.2958, 0.0926
0.0511,  411.11, 0.0827, 0.4436, 0.1795, 0.1373, 0.0827
0.0532,  427.55, 0.2019, 0.2981, 0.2856, 0.1376, 0.2019
0.0552,  444.00, 0.0853, 0.3816, 0.0325, 0.2249, 0.0853
0.0573,  460.44, 0.1103, 0.4584, 0.2510, 0.2882, 0.1103
0.0593,  476.89, 0.1451, 0.6339, 0.3615, 0.2530, 0.1451
0.0614,  493.33, 0.0391, 0.3363, 0.0793, 0.3409, 0.0391
0.0634,  509.78, 0.1112, 0.1751, 0.1433, 0.3656, 0.1112
0.0655,  526.22, 0.0938, 0.0941, 0.1335, 0.2992, 0.0938
0.0675,  542.66, 0.2285, 0.4047, 0.2307, 0.1000, 0.2285
0.0695,  559.11, 0.2070, 0.8450, 0.1732, 0.2607, 0.2070
0.0716,  575.55, 0.2218, 0.9092, 0.0742, 0.3383, 0.2218
0.0736,  592.00, 0.1415, 0.6375, 0.1967, 0.4763, 0.1415
0.0757,  608.44, 0.0384, 0.4975, 0.2061, 0.4010, 0.0384
0.0777,  624.89, 0.0996, 0.5449, 0.2901, 0.3831, 0.0996
0.0798,  641.33, 0.0366, 0.2342, 0.1240, 0.3896, 0.0366
0.0818,  657.77, 0.1411, 0.1243, 0.1808, 0.2891, 0.1411
0.0839,  674.22, 0.2827, 0.2225, 0.3797, 0.3800, 0.2827
0.0859,  690.66, 0.3255, 0.6815, 0.2836, 0.0544, 0.3255
0.0879,  707.11, 0.2492, 0.8604, 0.2017, 0.0820, 0.2492
0.0900,  723.55, 0.0468, 0.5039, 0.0706, 0.2993, 0.0468
0.0920,  740.00, 0.0554, 0.7620, 0.1635, 0.4298, 0.0554
0.0941,  756.44, 0.0308, 0.7634, 0.1936, 0.3336, 0.0308
0.0961,  772.89, 0.1400, 0.5295, 0.3297, 0.3839, 0.1400
0.0982,  789.33, 0.1938, 0.4603, 0.4122, 0.3468, 0.1938
0.1002,  805.77, 0.0549, 0.3730, 0.1679, 0.1619, 0.0549
0.1023,  822.22, 0.1362, 0.2136, 0.1639, 0.4694, 0.1362
0.1043,  838.66, 0.0874, 0.4864, 0.0449, 0.3512, 0.0874
0.1064,  855.11, 0.2846, 0.5281, 0.3374, 0.3209, 0.2846
0.1084,  871.55, 0.1288, 0.8453, 0.1297, 0.7695, 0.1288
0.1104,  888.00, 0.3115, 0.9671, 0.4562, 0.6078, 0.3115
0.1125,  904.44, 0.2627, 0.5202, 0.3168, 0.0835, 0.2627
0.1145,  920.88, 0.0352, 0.4617, 0.1558, 0.2852, 0.0352
0.1166,  937.33, 0.3350, 0.2776, 0.5247, 0.4651, 0.3350
0.1186,  953.77, 0.5363, 0.7977, 0.7835, 0.8644, 0.5363
0.1207,  970.22, 0.4655, 1.0315, 0.6905, 0.8014, 0.4655
0.1227,  986.66, 0.4742, 1.0543, 0.4881, 0.6586, 0.4742
0.1248, 1003.11, 0.4452, 1.0761, 0.3701, 0.4264, 0.4452
0.1268, 1019.55, 0.2446, 0.5753, 0.4776, 0.3936, 0.2446
0.1289, 1035.99, 0.2718, 0.6278, 0.5555, 0.4707, 0.2718
0.1309, 1052.44, 0.1686, 0.8317, 0.2114, 0.2387, 0.1686
0.1329, 1068.88, 0.0806, 0.5809, 0.1406, 0.5938, 0.0806
0.1350, 1085.33, 0.1345, 0.4182, 0.3267, 0.5386, 0.1345
0.1370, 1101.77, 0.1072, 0.8468, 0.3741, 0.5097, 0.1072
0.1391, 1118.22, 0.1582, 0.5139, 0.3162, 0.2547, 0.1582
0.1411, 1134.66, 0.3399, 0.5346, 0.3651, 0.3467, 0.3399
0.1432, 1151.11, 0.3730, 0.8103, 0.4134, 0.4365, 0.3730
0.1452, 1167.55, 0.1584, 0.4499, 0.3040, 0.2891, 0.1584
0.1473, 1183.99, 0.2164, 0.6643, 0.4387, 0.3578, 0.2164
0.1493, 1200.44, 0.1097, 0.3020, 0.2617, 0.3406, 0.1097
0.1514, 1216.88, 0.3071, 0.6422, 0.2444, 0.3213, 0.3071
0.1534, 1233.33, 0.2317, 0.4123, 0.3881, 0.3857, 0.2317
0.1554, 1249.77, 0.3175, 0.2550, 0.4676, 0.7875, 0.3175
0.1575, 1266.22, 0.1286, 0.5403, 0.0912, 0.5818, 0.1286
0.1595, 1282.66, 0.2789, 0.5512, 0.4672, 0.5448, 0.2789
0.1616, 1299.10, 0.0896, 0.3767, 0.1598, 0.5871, 0.0896
0.1636, 1315.55, 0.2159, 0.4022, 0.2283, 0.1768, 0.2159
0.1657, 1331.99, 0.2523, 0.5186, 0.2711, 0.5470, 0.2523
0.1677, 1348.44, 0.4129, 0.6194, 0.5026, 0.3136, 0.4129
0.1698, 1364.88, 0.3606, 0.2745, 0.5423, 0.1888, 0.3606
0.1718, 1381.33, 0.1158, 0.8317, 0.3120, 0.3563, 0.1158
0.1739, 1397.77, 0.0635, 0.7624, 0.2415, 0.3046, 0.0635
0.1759, 1414.22, 0.1711, 0.5109, 0.2904, 0.4425, 0.1711
0.1779, 1430.66, 0.1199, 0.2537, 0.2658, 0.7168, 0.1199
0.1800, 1447.10, 0.1765, 0.2895, 0.3768, 0.8239, 0.1765
0.1820, 1463.55, 0.2793, 0.2174, 0.4767, 0.5326, 0.2793
0.1841, 1479.99, 0.3878, 0.3213, 0.5044, 0.2631, 0.3878
0.1861, 1496.44, 0.2252, 0.6328, 0.2898, 0.1421, 0.2252
