Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_25600ISO_0EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 17:11:55,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.76, 0.9716, 1.0231, 0.9607, 0.9883, 0.9716
0.0062,   49.51, 0.8776, 0.9643, 0.8560, 0.9326, 0.8776
0.0092,   74.27, 0.7515, 0.7936, 0.7393, 0.7933, 0.7515
0.0123,   99.02, 0.6122, 0.6301, 0.6170, 0.5831, 0.6122
0.0154,  123.78, 0.4663, 0.4855, 0.4791, 0.5160, 0.4663
0.0185,  148.54, 0.3734, 0.4227, 0.3757, 0.4531, 0.3734
0.0216,  173.29, 0.3328, 0.4829, 0.3323, 0.2436, 0.3328
0.0246,  198.05, 0.3064, 0.6337, 0.2456, 0.3082, 0.3064
0.0277,  222.81, 0.3121, 0.9041, 0.1858, 0.4852, 0.3121
0.0308,  247.56, 0.3455, 0.5203, 0.3206, 0.4151, 0.3455
0.0339,  272.32, 0.3652, 0.6897, 0.3407, 0.3606, 0.3652
0.0369,  297.07, 0.4165, 1.1033, 0.2943, 0.5758, 0.4165
0.0400,  321.83, 0.4082, 0.9862, 0.3150, 0.4575, 0.4082
0.0431,  346.59, 0.2596, 0.3142, 0.2994, 0.0386, 0.2596
0.0462,  371.34, 0.1139, 0.7452, 0.1285, 0.4943, 0.1139
0.0493,  396.10, 0.2501, 1.4570, 0.0468, 0.6030, 0.2501
0.0523,  420.86, 0.3115, 1.3384, 0.2178, 0.3718, 0.3115
0.0554,  445.61, 0.2612, 0.7653, 0.2330, 0.5394, 0.2612
0.0585,  470.37, 0.1629, 0.2342, 0.2203, 0.7189, 0.1629
0.0616,  495.12, 0.2662, 0.5532, 0.4909, 0.5907, 0.2662
0.0647,  519.88, 0.1942, 0.9403, 0.5220, 0.8633, 0.1942
0.0677,  544.64, 0.2885, 0.8798, 0.6401, 1.0524, 0.2885
0.0708,  569.39, 0.3646, 0.8992, 0.5738, 0.8460, 0.3646
0.0739,  594.15, 0.2058, 1.4101, 0.0853, 0.9118, 0.2058
0.0770,  618.90, 0.1283, 1.5908, 0.3647, 0.6800, 0.1283
0.0801,  643.66, 0.1801, 1.2193, 0.0519, 0.3084, 0.1801
0.0831,  668.42, 0.4104, 0.9840, 0.6485, 0.4224, 0.4104
0.0862,  693.17, 0.4067, 1.1072, 0.7847, 0.3891, 0.4067
0.0893,  717.93, 0.2394, 0.1651, 0.3643, 0.5605, 0.2394
