Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:24:36,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.76, 0.9897, 1.0369, 0.9779, 0.9750, 0.9897
0.0062,   49.53, 0.9050, 0.9269, 0.9019, 0.8756, 0.9050
0.0092,   74.29, 0.7882, 0.7354, 0.8173, 0.6480, 0.7882
0.0123,   99.05, 0.6351, 0.5578, 0.6801, 0.4201, 0.6351
0.0154,  123.81, 0.4356, 0.4217, 0.4391, 0.5442, 0.4356
0.0185,  148.58, 0.2778, 0.4039, 0.2214, 0.5526, 0.2778
0.0216,  173.34, 0.1554, 0.3044, 0.0922, 0.3660, 0.1554
0.0246,  198.10, 0.0383, 0.2520, 0.0472, 0.4507, 0.0383
0.0277,  222.87, 0.1009, 0.2355, 0.0889, 0.5377, 0.1009
0.0308,  247.63, 0.2114, 0.2267, 0.2740, 0.6025, 0.2114
0.0339,  272.39, 0.2551, 0.3454, 0.3435, 0.6033, 0.2551
0.0370,  297.15, 0.2890, 0.4075, 0.4699, 0.3907, 0.2890
0.0400,  321.92, 0.4021, 0.1429, 0.5885, 0.3098, 0.4021
0.0431,  346.68, 0.3328, 0.2706, 0.5443, 0.5872, 0.3328
0.0462,  371.44, 0.1893, 0.7470, 0.4440, 0.4471, 0.1893
0.0493,  396.21, 0.1473, 1.1504, 0.2578, 0.7971, 0.1473
0.0524,  420.97, 0.0988, 1.3852, 0.2822, 0.7870, 0.0988
0.0554,  445.73, 0.0521, 0.4072, 0.1313, 0.2552, 0.0521
0.0585,  470.50, 0.1801, 1.0259, 0.2870, 0.6837, 0.1801
0.0616,  495.26, 0.4786, 1.4510, 0.4503, 1.0883, 0.4786
0.0647,  520.02, 0.6003, 1.4944, 0.4094, 0.4773, 0.6003
0.0678,  544.78, 0.3740, 0.7407, 0.4636, 0.6471, 0.3740
0.0708,  569.55, 0.0802, 0.9219, 0.3206, 0.8157, 0.0802
0.0739,  594.31, 0.3846, 1.1073, 0.6624, 0.1726, 0.3846
0.0770,  619.07, 0.6119, 0.8581, 0.7047, 1.0585, 0.6119
0.0801,  643.84, 0.5240, 1.1981, 0.4381, 1.0128, 0.5240
0.0832,  668.60, 0.2628, 0.8212, 0.3665, 0.7067, 0.2628
0.0862,  693.36, 0.1714, 0.7146, 0.2999, 1.4313, 0.1714
0.0893,  718.12, 0.2402, 0.9049, 0.7826, 2.4634, 0.2402
0.0924,  742.89, 0.3469, 0.7478, 0.6645, 2.2350, 0.3469
0.0955,  767.65, 0.2520, 1.7649, 0.4289, 1.4765, 0.2520
0.0986,  792.41, 0.0740, 2.1280, 0.7163, 0.6385, 0.0740
0.1016,  817.18, 0.2135, 2.9857, 0.6090, 0.5987, 0.2135
0.1047,  841.94, 0.1667, 1.9606, 0.7150, 1.0207, 0.1667
0.1078,  866.70, 0.5028, 0.8752, 0.9356, 1.9920, 0.5028
0.1109,  891.46, 0.7335, 1.0321, 0.9613, 1.8518, 0.7335
0.1140,  916.23, 0.3403, 2.1419, 0.4689, 2.1416, 0.3403
0.1170,  940.99, 0.4312, 1.7765, 0.1473, 0.8973, 0.4312
0.1201,  965.75, 0.8919, 1.2119, 1.0063, 0.9418, 0.8919
0.1232,  990.52, 1.0122, 0.6584, 1.3268, 1.1124, 1.0122
0.1263, 1015.28, 0.7798, 0.6767, 1.2552, 1.7403, 0.7798
0.1294, 1040.04, 0.7089, 0.8958, 1.0843, 1.4670, 0.7089
0.1324, 1064.81, 0.6492, 0.5987, 1.0098, 0.5285, 0.6492
0.1355, 1089.57, 0.6354, 0.3974, 0.9587, 0.4769, 0.6354
0.1386, 1114.33, 0.4129, 0.5674, 0.7235, 0.5106, 0.4129
0.1417, 1139.09, 0.3009, 0.7603, 0.4420, 0.0627, 0.3009
0.1448, 1163.86, 0.4281, 1.3175, 0.5240, 0.7183, 0.4281
0.1478, 1188.62, 0.4967, 0.9144, 0.3983, 0.3276, 0.4967
0.1509, 1213.38, 0.4848, 0.9041, 0.4854, 1.3750, 0.4848
0.1540, 1238.15, 0.1895, 0.8920, 0.5097, 1.0409, 0.1895
0.1571, 1262.91, 0.1754, 1.2962, 0.3521, 2.2758, 0.1754
0.1602, 1287.67, 0.2005, 1.4125, 0.3383, 2.4550, 0.2005
0.1632, 1312.43, 0.1918, 2.3528, 0.9209, 2.0799, 0.1918
0.1663, 1337.20, 0.5602, 1.8515, 0.9951, 1.9830, 0.5602
0.1694, 1361.96, 0.3595, 2.0502, 0.9932, 1.6439, 0.3595
0.1725, 1386.72, 0.3458, 2.0332, 0.8071, 1.6253, 0.3458
0.1756, 1411.49, 0.5263, 1.0759, 0.9991, 2.0475, 0.5263
0.1786, 1436.25, 0.5484, 2.3084, 0.8430, 1.7562, 0.5484
0.1817, 1461.01, 0.9069, 2.1795, 1.0129, 1.3573, 0.9069
0.1848, 1485.77, 1.1933, 1.2560, 1.4063, 1.1173, 1.1933
0.1879, 1510.54, 1.1870, 1.0944, 1.4013, 0.4828, 1.1870
0.1910, 1535.30, 0.8381, 2.3518, 0.4853, 0.7330, 0.8381
0.1940, 1560.06, 0.3278, 2.6539, 0.3600, 1.4984, 0.3278
0.1971, 1584.83, 0.2162, 1.4703, 0.2079, 1.2460, 0.2162
