Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_6400ISO_0EV_Dist2_OFF_Defocus1.tiff
Run date,12-May-2025 17:11:55,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.77, 0.9852, 0.9881, 0.9839, 0.9908, 0.9852
0.0062,   49.54, 0.9202, 0.9280, 0.9169, 0.9317, 0.9202
0.0092,   74.31, 0.8267, 0.8497, 0.8200, 0.8316, 0.8267
0.0123,   99.08, 0.7141, 0.7172, 0.7164, 0.6846, 0.7141
0.0154,  123.85, 0.5741, 0.5448, 0.5824, 0.5755, 0.5741
0.0185,  148.62, 0.4445, 0.4074, 0.4442, 0.5555, 0.4445
0.0216,  173.39, 0.3334, 0.3270, 0.3231, 0.4639, 0.3334
0.0246,  198.16, 0.2349, 0.2729, 0.2141, 0.3379, 0.2349
0.0277,  222.93, 0.1443, 0.1323, 0.1398, 0.2433, 0.1443
0.0308,  247.70, 0.0720, 0.1230, 0.0978, 0.1249, 0.0720
0.0339,  272.47, 0.0361, 0.1955, 0.0261, 0.0866, 0.0361
0.0370,  297.24, 0.1363, 0.1928, 0.1538, 0.1656, 0.1363
0.0401,  322.01, 0.1411, 0.1345, 0.1856, 0.2193, 0.1411
0.0431,  346.78, 0.1403, 0.0858, 0.2103, 0.1406, 0.1403
0.0462,  371.55, 0.1328, 0.0565, 0.2029, 0.0748, 0.1328
0.0493,  396.32, 0.1053, 0.1379, 0.1500, 0.1273, 0.1053
0.0524,  421.09, 0.1079, 0.3003, 0.1124, 0.2544, 0.1079
0.0555,  445.86, 0.0898, 0.2917, 0.1001, 0.2500, 0.0898
0.0585,  470.63, 0.0633, 0.1674, 0.0681, 0.0767, 0.0633
0.0616,  495.40, 0.0648, 0.2668, 0.0209, 0.0611, 0.0648
0.0647,  520.17, 0.0790, 0.3369, 0.0811, 0.2258, 0.0790
0.0678,  544.94, 0.0916, 0.2596, 0.1421, 0.2191, 0.0916
0.0709,  569.71, 0.0548, 0.2000, 0.1116, 0.0850, 0.0548
0.0739,  594.48, 0.0731, 0.1567, 0.0850, 0.0683, 0.0731
0.0770,  619.25, 0.1313, 0.2276, 0.1614, 0.1500, 0.1313
0.0801,  644.01, 0.1517, 0.3818, 0.2309, 0.2426, 0.1517
0.0832,  668.78, 0.0815, 0.2531, 0.1564, 0.2608, 0.0815
0.0863,  693.55, 0.0390, 0.1920, 0.0428, 0.2142, 0.0390
0.0893,  718.32, 0.0545, 0.4810, 0.1021, 0.1289, 0.0545
0.0924,  743.09, 0.0773, 0.3186, 0.0225, 0.1303, 0.0773
0.0955,  767.86, 0.0159, 0.3749, 0.1180, 0.0688, 0.0159
0.0986,  792.63, 0.0401, 0.1365, 0.0129, 0.0982, 0.0401
0.1017,  817.40, 0.1102, 0.2224, 0.2162, 0.1656, 0.1102
0.1047,  842.17, 0.0438, 0.4438, 0.1721, 0.1837, 0.0438
0.1078,  866.94, 0.0972, 0.5007, 0.2416, 0.1864, 0.0972
0.1109,  891.71, 0.0202, 0.3208, 0.0898, 0.2786, 0.0202
0.1140,  916.48, 0.0583, 0.3491, 0.0683, 0.2202, 0.0583
0.1171,  941.25, 0.1344, 0.4863, 0.1412, 0.1932, 0.1344
0.1202,  966.02, 0.0925, 0.4614, 0.1610, 0.2266, 0.0925
0.1232,  990.79, 0.0430, 0.3611, 0.1297, 0.2299, 0.0430
0.1263, 1015.56, 0.0927, 0.0609, 0.1538, 0.1318, 0.0927
0.1294, 1040.33, 0.1177, 0.4160, 0.2901, 0.1381, 0.1177
0.1325, 1065.10, 0.1712, 0.3259, 0.2828, 0.1994, 0.1712
0.1356, 1089.87, 0.1133, 0.6554, 0.0849, 0.2018, 0.1133
0.1386, 1114.64, 0.1644, 0.6819, 0.2720, 0.3084, 0.1644
0.1417, 1139.41, 0.2381, 0.4079, 0.2550, 0.3607, 0.2381
0.1448, 1164.18, 0.3325, 0.8755, 0.2188, 0.2292, 0.3325
0.1479, 1188.95, 0.3210, 1.0347, 0.1624, 0.1498, 0.3210
0.1510, 1213.72, 0.1642, 0.5926, 0.1350, 0.0872, 0.1642
0.1540, 1238.49, 0.1841, 0.3148, 0.2921, 0.3741, 0.1841
0.1571, 1263.26, 0.2719, 0.4046, 0.3293, 0.4232, 0.2719
0.1602, 1288.03, 0.2249, 0.5644, 0.1629, 0.1508, 0.2249
0.1633, 1312.80, 0.1477, 0.3043, 0.1259, 0.1628, 0.1477
0.1664, 1337.57, 0.2093, 0.0880, 0.2805, 0.0801, 0.2093
0.1694, 1362.34, 0.2043, 0.2985, 0.1920, 0.2300, 0.2043
0.1725, 1387.11, 0.0570, 0.0814, 0.0308, 0.3371, 0.0570
0.1756, 1411.88, 0.0591, 0.7746, 0.1851, 0.3205, 0.0591
0.1787, 1436.65, 0.0523, 0.6448, 0.2406, 0.2546, 0.0523
0.1818, 1461.42, 0.0482, 0.2041, 0.1090, 0.2701, 0.0482
0.1848, 1486.19, 0.1361, 0.0328, 0.1593, 0.3392, 0.1361
0.1879, 1510.96, 0.1819, 0.3505, 0.3131, 0.2232, 0.1819
0.1910, 1535.73, 0.2820, 0.2786, 0.4504, 0.1656, 0.2820
0.1941, 1560.50, 0.3271, 0.4652, 0.3564, 0.3428, 0.3271
0.1972, 1585.27, 0.2993, 0.4391, 0.2941, 0.1196, 0.2993
0.2003, 1610.04, 0.2118, 0.0552, 0.2751, 0.3472, 0.2118
0.2033, 1634.81, 0.1856, 0.4878, 0.2239, 0.3523, 0.1856
0.2064, 1659.58, 0.2013, 0.7235, 0.2231, 0.5954, 0.2013
0.2095, 1684.35, 0.2041, 0.7863, 0.2058, 0.4436, 0.2041
0.2126, 1709.12, 0.3262, 0.9617, 0.3142, 0.1277, 0.3262
0.2157, 1733.89, 0.3670, 0.7940, 0.2950, 0.0729, 0.3670
0.2187, 1758.66, 0.1503, 0.3024, 0.1280, 0.0908, 0.1503
0.2218, 1783.43, 0.2134, 0.5005, 0.1344, 0.2582, 0.2134
0.2249, 1808.20, 0.3914, 0.6960, 0.3415, 0.1943, 0.3914
0.2280, 1832.97, 0.2307, 0.4760, 0.3139, 0.3799, 0.2307
0.2311, 1857.74, 0.1024, 0.3932, 0.2954, 0.6825, 0.1024
0.2341, 1882.51, 0.0784, 0.3669, 0.1709, 0.5321, 0.0784
0.2372, 1907.28, 0.0890, 0.1086, 0.0770, 0.3929, 0.0890
0.2403, 1932.04, 0.1443, 0.0506, 0.2072, 0.4169, 0.1443
0.2434, 1956.81, 0.2329, 0.2061, 0.3071, 0.2866, 0.2329
0.2465, 1981.58, 0.1635, 0.3510, 0.1305, 0.1576, 0.1635
0.2495, 2006.35, 0.1101, 0.2353, 0.1233, 0.3747, 0.1101
0.2526, 2031.12, 0.1225, 0.2132, 0.2261, 0.5622, 0.1225
0.2557, 2055.89, 0.0217, 0.2183, 0.1171, 0.4617, 0.0217
0.2588, 2080.66, 0.0500, 0.2230, 0.1011, 0.0583, 0.0500
0.2619, 2105.43, 0.1558, 0.2619, 0.1469, 0.4294, 0.1558
0.2650, 2130.20, 0.2701, 0.5415, 0.2655, 0.2107, 0.2701
0.2680, 2154.97, 0.1895, 0.4763, 0.1936, 0.3336, 0.1895
0.2711, 2179.74, 0.1374, 0.1604, 0.1957, 0.1806, 0.1374
0.2742, 2204.51, 0.0321, 0.3180, 0.0692, 0.2345, 0.0321
0.2773, 2229.28, 0.3226, 0.6203, 0.2687, 0.0880, 0.3226
